,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 11,,,,,,COTD 12,,,,,,COTD 13,,,,,,COTD 14,,,,,,COTD 15,,,
Map: COTD LP SSM_GravityFP by [CTR] LupensCruor,,,,,,Map: Veneered Tenacity (cotd 12) by Kernkob,,,,,,Map: COTD - Abondance by JobW,,,,,,Map: Lucid Dreams - COTD by ZOMAN,,,,,,Map: Spiky Synset - COTD #15 by RoundNzt,,,
,,Fastest Time: 42.449 by [CTR] jandje in Round 9,,,,,,Fastest Time: 40.287 by [CTR] jandje in Round 9,,,,,,Fastest Time: 42.648 by Mark in Round 11,,,,,,Fastest Time: 47.074 by [CTR] jandje in Round 7,,,,,,Fastest Time: 40.092 by [CTR] jandje in Final,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,[CTR] jandje,42.633,,,,1,[CTR] jandje,41.079,,,,1,ZOMAN,43.032,,,,1,[CTR] jandje,47.170,,,,1,[CTR] jandje,40.092,
2,justMaki,43.175,15,,,2,ZOMAN,41.328,14,,,2,Mark,43.193,16,,,2,Mark,47.249,13,,,2,ZOMAN,40.770,15
3,RoundNzt,43.396,14,,,3,[RTR]Fwogiie.Kawaii,41.537,13,,,3,[CTR]R0nanC,43.771,15,,,3,Kernkob,47.547,12,,,3,Kernkob,40.728,14
4,Mark,43.377,13,,,4,RoundNzt,DNF,12,,,4,justMaki,43.819,14,,,4,[RTR] Hydro,48.279,11,,,4,[CTR] LupensCruor,41.151,13
5,[CTR]zedShep,43.245,12,,,5,rsgold,41.660,11,,,5,[RTR] Hydro,44.554,13,,,5,[CTR] Sandals,47.758,10,,,5,[CTR] Sandals,40.934,12
6,Kernkob,43.298,11,,,6,[CTR]L3it3R,DNF,10,,,6,rsgold,DNF,12,,,6,readfreak7,48.388,9,,,6,Mark,41.288,11
7,ZOMAN,43.544,11,,,7,Lazy_Echidna,41.520,9,,,7,[CTR] Sandals,45.204,11,,,7,[P50] TraNin,48.447,8,,,7,[CTR]OwlPlague,40.973,10
8,[CTR] Sandals,43.432,10,,,8,A2 Zecklord,41.559,9,,,8,Beans,DNF,11,,,8,Warcans,DNF,8,,,8,[CTR]Cbad Cruiser,DNF,10
9,Renergy,43.824,10,,,9,[RTR] I_stay_sideway,41.846,8,,,9,RoundNzt,45.706,10,,,9,Erko,48.284,7,,,9,PoleLord,41.077,9
10,readfreak7,43.778,9,,,10,A Broken Forklift,41.996,8,,,10,[CTR] jandje,DNF,10,,,10,Bridaggs,48.781,7,,,10,AndMe14,41.510,9
11,[CTR]TwoFace,44.210,9,,,11,Fiets38,42.505,7,,,11,[CTR]OwlPlague,44.605,9,,,11,zivecef,DNF,6,,,11,DeiRex,43.969,8
12,Beans,44.405,8,,,12,CCrider,DNF,7,,,12,DeiRex,45.277,9,,,,[CTR]L3it3R,DNF,6,,,12,[CTR]TheBamboozler,DNF,8
13,Akane,44.651,8,,,13,AndMe14,42.151,6,,,13,[RTR] I_stay_sideway,45.044,8,,,13,Metalted,50.144,5,,,13,[CTR]R0nanC,41.821,7
14,Ultimate Billy,44.217,7,,,14,[CTR] Sandals,42.222,6,,,14,readfreak7,45.449,8,,,14,I_stay_sideway,DNF,5,,,14,[CTR]L3it3R,42.056,7
