,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 6,,,,,,COTD 7,,,,,,COTD 8,,,,,,COTD 9,,,,,,COTD 10,,,
Map: I Write Sins Not Tragedies by [CTR]TheBamboozler,,,,,,Map: Codewalt of the day by Codewalt,,,,,,Map: COTD - FFFFFF by [OR] Roader,,,,,,Map: Maple Caveway by Bottomless,,,,,,Map: Green Gleam (COTD) by Lexer,,,
,,Fastest Time: 40.803 by justMaki in Final,,,,,,Fastest Time: 45.501 by justMaki in Round 11,,,,,,Fastest Time: 47.017 by [CTR] jandje in Round 6,,,,,,Fastest Time: 42.778 by justMaki in Round 10,,,,,,Fastest Time: 43.666 by justMaki in Round 8,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,justMaki,40.803,,,,1,[CTR] jandje,45.75003,,,,1,justMaki,47.038,,,,1,[OR]Pigbuy,44.870,,,,1,justMaki,44.445,
2,ZOMAN,41.633,16,,,2,justMaki,45.75016,13,,,2,A2 Zecklord,47.268,16,,,2,AndMe14,44.966,14,,,2,Erko,44.476,15
3,[RTR] Hydro,41.808,15,,,3,Mark,46.586,12,,,3,ZOMAN,47.354,15,,,3,justMaki,DNF,13,,,3,[CTR] jandje,44.435,14
4,[CTR]Cbad Cruiser,42.117,14,,,4,TraNin,46.443,11,,,4,Socks242,DNF,14,,,4,[CTR] LupensCruor,45.619,12,,,4,[CTR] Sandals,44.917,13
5,Diabler,42.520,13,,,5,Warcans,DNF,10,,,5,[CTR] jandje,48.889,13,,,5,Goldfish,DNF,11,,,5,ZOMAN,44.534,12
6,Kernkob,42.897,12,,,6,[CTR]TwoFace,47.879,9,,,6,[CTR] Sandals,48.121,12,,,6,[CTR] Sandals,46.082,10,,,6,Socks242,44.616,11
7,Mark,42.858,11,,,7,DeiRex,47.410,8,,,7,[CTR] LupensCruor,48.798,11,,,7,Matalted,47.508,9,,,7,Mark,44.944,11
8,Kaiser64,42.862,11,,,8,Lightning,47.571,8,,,8,Warcans,DNF,11,,,8,Warcans,DNF,9,,,8,PoleLord,44.788,10
9,L3it3R,43.289,10,,,9,ZOMAN,DNF,7,,,9,Beans,48.375,10,,,9,TraNin,58.663,8,,,9,quickracer10,45.540,10
10,[CTR] jandje,DNF,10,,,,Beans,DNF,7,,,10,Mark,DNF,10,,,10,Kernkob,DNF,8,,,10,St Nicholas,45.307,9
11,RoundNzt,43.811,9,,,,[OR]Pigbuy,DNF,7,,,11,Kernkob,47.573,9,,,11,Erko,47.834,7,,,11,ForestTheBoy,46.327,9
12,[CTR] LupensCruor,DNF,9,,,,[BGR] Joking,DNF,7,,,12,Hydro,DNF,9,,,12,ZOMAN,59.411,7,,,12,lewis,45.281,8
13,[CTR]R0nanC,43.272,8,,,13,[CTR] Sandals,48.889,6,,,13,snorReplay,48.601,8,,,13,ITz Willleeman,47.744,6,,,13,Goldfish,45.376,8
14,St Nicholas,43.648,8,,,14,RoundNzt,DNF,6,,,14,[CTR]TwoFace,48.906,8,,,14,[CTR]R0nanC,48.060,6,,,14,Codewalt,45.339,7
15,[CTR] Sandals,43.235,7,,,,Tritonas1237,DNF,6,,,15,St Nicholas,48.403,7,,,15,[BGR] Joking,49.389,6,,,15,Hydro,45.369,7
16,readfreak7,43.843,7,,,,Renergy,DNF,6,,,16,RoundNzt,48.586,7,,,16,St Nicholas,53.503,6,,,16,A2 Zecklord,45.436,7
17,Lazy_Echidna,44.340,7,,,17,Lexer,51.238,5,,,17,Erko,49.280,7,,,17,JobW,48.825,5,,,17,[OR]Pigbuy,45.736,7
