,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 106,,,,,,COTD 107,,,,,,COTD 108,,,,,,COTD 109,,,,,,COTD 110,,,
Map: Coconut Archipelago by Weak_Knees,,,,,,Map: Förlorade Ön by [CSC]OLR94,,,,,,Map: COTD - Mana Mine by mori_cinis,,,,,,Map: CotD - Mortanglement by [CTR]Mortishade,,,,,,Map: One is fresh; The other is dried by agix,,,
,,Fastest Time: 47.773 by RoundNzt in Round 6,,,,,,Fastest Time: 45.710 by ZOMAN in Round 5,,,,,,Fastest Time: 44.532 by [KURK] Quickracer10 in Final,,,,,,Fastest Time: 42.500 by [KURK] Quickracer10 in Round 13,,,,,,Fastest Time: 41.812 by justMaki in Round 15,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,RoundNzt,47.886,,,,1,ZOMAN,45.966,,,,1,[KURK] Quickracer10,44.532,,,,1,justMaki,42.554,,,,1,justMaki,42.130,
3,Pants,DNF,10,,,2,Kernkob,46.155,17,,,2,Lexer,44.785,18,,,2,ZOMAN,42.752,17,,,2,[KURK] Quickracer10,DNF,16
3,St Nicholas,DNF,10,,,3,[CTR] Sandals,46.182,16,,,3,Northwind,44.974,17,,,3,[KURK] Quickracer10,42.728,16,,,3,A2 Zecklord,42.698,15
4,A2 Zecklord,48.866,9,,,4,Lexer,46.334,15,,,4,[CTR]GuAlexItar,45.062,16,,,4,[COMY]AndMe17,43.013,15,,,4,[BRIT] Lexer,42.808,14
5,[CTR]Mμ,DNF,8,,,5,[KURK] Quickracer10,DNF,14,,,5,A2 Zecklord,45.030,15,,,5,[PNCK]Mini P.E.K.K.A,43.366,14,,,5,[dumb]rtube,DNF,13
6,[SWMG]SadD0ge,48.623,7,,,6,MackCheesy,46.491,13,,,6,[COMY]AndMe17,DNF,14,,,6,Lexer,43.376,13,,,6,[CSC] An Actual g00se,43.154,12
7,[CSC] Shadynook,48.632,6,,,7,[SWMG]SadD0ge,46.615,12,,,7,Murrl,DNF,13,,,7,A2 Zecklord,43.511,12,,,7,[CTR]GuAlexItar,43.375,11
8,[ZET] Wheelie,48.917,6,,,8,Zodiak,46.685,12,,,,[Toob]rtube,DNF,13,,,8,RoundNzt,DNF,12,,,8,[CTR] Sandals,DNF,11
9,ping,49.430,5,,,9,[CSC]Tommygaming,46.733,11,,,9,[popo]Zodiak,45.428,12,,,9,[SWMG]SadD0ge,43.688,11,,,9,Hi Im Yolo,DNF,10
10,Orthros,49.639,5,,,10,B_ES,46.782,11,,,10,ping,45.468,12,,,10,Hi Im Yolo,43.881,11,,,,RadAbsRad,DNF,10
11,Form,49.519,4,,,11,[CTR]Mμ,46.723,10,,,11,St Nicholas,45.584,11,,,11,[CSC]Tommygaming,43.978,10,,,11,jandje,43.557,9
12,[CSC] variableferret,DNF,4,,,12,[CSC] Shadynook,47.344,10,,,12,Beans,45.592,11,,,12,[CTR]GuAlexItar,DNF,10,,,12,ping,43.617,9
13,Lexer,DNF,3,,,13,RoundNzt,46.938,9,,,13,[CTR]Mμ,45.579,10,,,13,agix,44.456,9,,,13,MackCheesy,43.796,8
,R0nanC,DNF,3,,,14,St Nicholas,47.054,9,,,14,[CSC] variableferret,45.768,10,,,14,[CSC] An Actual g00se,DNF,9,,,14,[SWMG]SadD0ge,43.822,8
,Sterben,DNF,3,,,15,[TOG]Lazy_Echidna,47.252,9,,,15,[CSC] Shadynook,45.887,9,,,15,St Nicholas,44.311,8,,,15,[bob]void,43.775,7
,[CSC] DeeDeeNaNaNa,DNF,3,,,16,[ZET] Wheelie,47.473,9,,,16,MMXD18,45.892,9,,,16,[CTR]Mμ,44.328,8,,,16,[CSC] redal,44.103,7
