,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 111,,,,,,COTD 112,,,,,,COTD 113,,,,,,COTD 114,,,,,,COTD 115,,,
Map: COTD - Madeira by BB_Benji,,,,,,Map: COTD - Purple Hills by [TOG]ioi8,,,,,,Map: COTD - Redder Ribbon by [CTR]Mμ,,,,,,Map: COTD - Askew by [CSC] Shadynook,,,,,,Map: COTD - Of Course It's a Forest by [CSC] redal,,,
,,Fastest Time: 48.649 by Kernkob in Final,,,,,,Fastest Time: 41.563 by ZOMAN in Round 7,,,,,,Fastest Time: 47.308 by ZOMAN in Round 12,,,,,,Fastest Time: 41.262 by ZOMAN in Round 1,,,,,,Fastest Time: 45.157 by Kernkob in Round 6,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,Kernkob,48.649,,,,1,justMaki,41.760,,,,1,[FPV]PandaMane,47.449,,,,1,ZOMAN,40.401,,,,1,Kernkob,45.199,
2,ZOMAN,DNF,17,,,2,ZOMAN,41.852,17,,,2,ZOMAN,DNF,17,,,2,k2blue,DNF,14,,,2,Lexer,45.291,18
3,[KURK] Quickracer10,DNF,16,,,3,[CTR] Sandals,41.807,16,,,3,justMaki,47.436,16,,,3,Pants,40.443,13,,,3,justMaki,45.424,17
4,justMaki,48.949,15,,,4,[KURK] Quickracer10,42.233,15,,,4,[TILT]Redstony,48.029,15,,,4,Lexer,DNF,12,,,4,Murrl,45.769,16
5,Lexer,49.068,14,,,5,[CSC]Tommygaming,DNF,14,,,5,MackCheesy,DNF,14,,,5,[CSC] An Actual g00se,40.669,11,,,5,[KURK] Quickracer10,45.624,15
6,RoundNzt,49.259,13,,,6,agix,DNF,13,,,6,k2blue,48.258,13,,,6,[CTR]Mμ,40.935,10,,,6,[CTR]Sandals,45.658,14
7,[bob]void,50.120,12,,,,[CTR]GuAlexItar,DNF,13,,,7,Lexer,48.242,12,,,7,[SWMG]SadD0ge,DNF,10,,,7,k2blue,45.701,13
8,[CTR] Sandals,50.560,12,,,8,Lexer,42.604,12,,,8,[CSC]Tommygaming,48.825,12,,,8,[CSC]Tommygaming,41.295,9,,,8,agix,45.791,13
9,Hi Im Yolo,49.866,11,,,9,[SWMG]SadD0ge,43.179,12,,,9,Renergy,48.223,11,,,9,MackCheesy,41.536,9,,,9,[SWMG]SadD0ge,46.168,12
10,[pong]ping,50.027,11,,,10,TwoFace,43.318,11,,,10,agix,48.598,11,,,10,[CTR]GuAlexItar,41.091,8,,,10,[CSC]Tommygaming,DNF,12
11,[CSC] An Actual g00se,50.399,10,,,11,elekvault,44.439,11,,,11,[pong]ping,48.481,10,,,11,[pong]ping,41.230,8,,,11,[popo]Zodiak,46.060,11
12,[CTR]OwlPlague,50.704,10,,,12,RadAbsRad,44.439,10,,,12,rtube,DNF,10,,,12,R0nanC,41.687,7,,,12,MackCheesy,46.063,11
13,[Heyo]Mr. Hubub,50.807,9,,,13,RoundNzt,DNF,10,,,13,[CTR]Mortishade,48.851,9,,,13,[TTR]MetalCJ,DNF,7,,,13,[CTR]Mμ,46.040,10
14,[CTR]Mortishade,51.012,9,,,14,[CSC] DeeDeeNaNaNa,43.954,9,,,14,St Nicholas,48.994,9,,,14,brrryy,41.711,6,,,14,RadAbsRad,46.161,10
15,R0nanC,51.116,8,,,15,FINSTER83,44.154,9,,,15,[Tik] Hi Im Yolo,48.851,8,,,15,Orthtros,42.101,6,,,15,[TILT]Redstony,46.565,10
16,St Nicholas,51.268,8,,,16,[pong]ping,45.519,9,,,16,gilgool,49.069,8,,,16,[20X]K410K3N,DNF,6,,,16,[CSC] Shadynook,46.416,9
17,Form,51.508,8,,,17,[CSC] redal,DNF,9,,,17,Heart-TGV,49.628,8,,,,Minkus,DNF,6,,,17,Hi Im Yolo,46.434,9
18,MMXD18,DNF,8,,,18,DeiRex,44.513,8,,,18,[CTR]GuAlexItar,DNF,8,,,18,[ZET]Stick,41.794,5,,,18,[CTR]GuAlexItar,46.517,9
19,gilgool,51.970,7,,,19,Matic_D,44.615,8,,,19,Orthros,49.762,7,,,19,agix,41.956,5,,,19,ping,46.567,9
20,[MIB]Joe Beidl,52.722,7,,,20,[TOG]Lazy_Echidna,45.126,8,,,20,Minkus,49.976,7,,,20,Hi Im Yolo,42.188,5,,,20,St Nicholas,46.602,8
21,[CTR]GuAlexItar,DNF,7,,,21,Joe-bgaming,54.720,8,,,21,brrryy,50.571,7,,,21,Murrl,42.716,5,,,21,[CTR]Mortishade,46.663,8
