,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map: L3it3R's CotD - Say Less by [CTR]L3it3R,,,,,,COTD 27,,,,,,,COTD 28,,,,,,COTD 29,,,,,,COTD 30,,,
,,Fastest Time: 40.828 by justMaki in Round 2,,,,Map: Goose Chase - Cotd 27 by [Soap] Socks242,,,,,,,Map: Juniper Pass - COTD #28 by [cozy]St Nicholas,,,,,,Map: COTD #29 Of Course It's Bobsled by [CTR]Cbad Cruiser,,,,,,Map: sandals is slacking by Kernkob,,,
Position,Name,Elim Time,Elim Round,,,,,Fastest Time: 40.327 by [Blub] ZOMAN in Round 11,,,,,,,Fastest Time: 43.312 by Kernkob in Round 8,,,,,,Fastest Time: 43.174 by Kernkob in Round 13,,,,,,Fastest Time: 43.302 by RoundNzt in Round 8,
1,Kernkob,41.336,,,,Position,Name,Elim Time,Elim Round,,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
2,[HRR]readfreak7,42.126,14,,,1,[Blub] ZOMAN,40.477,,,,,1,Kernkob,43.538,,,,1,[RTR]Fwogiie.Kawaii,44.189,,,,1,RoundNzt,43.770,
3,[TOOB]Renergy,41.946,13,,,2,Kernkob,40.737,14,,,,2,Sandals,43.556,11,,,2,Kernkob,44.463,14,,,2,[SLOW] Hydro,43.790,11
4,[ZST]zivecef,41.989,12,,,3,Linzi,41.115,13,,,,3,[RTR]Fwogiie.Kawaii,DNF,10,,,3,[SLOW] Hydro,45.498,13,,,3,[HRR] readfreak7,44.355,10
5,justMaki,42.005,11,,,4,[KURK] Quickracer10,42.272,12,,,,4,GuAlexItar,44.019,9,,,4,[CTR]OwlPlague,48.251,12,,,4,[oops] Wombat!,DNF,9
6,Butter,41.863,10,,,5,[CTR] jandje,41.036,11,,,,5,[ZST] zivecef,45.018,8,,,5,justMaki,45.355,11,,,5,[ZST] Butter,DNF,8
7,[TOOB] ZOMAN,43.066,9,,,6,Erko,41.275,10,,,,6,AndMe15,44.874,7,,,6,[HRR]readfreak7,48.007,10,,,6,Kodiak,45.661,7
8,[CTR] jandje,DNF,9,,,7,[CTR]R0nanC,41.569,9,,,,7,MeroMeroNoMi,DNF,7,,,7,[CTR]jandje,48.484,10,,,7,[CTR]R0nanC,45.701,7
9,matt,42.064,8,,,8,[ZST]zivecef,DNF,9,,,,8,DragonBoi,44.547,6,,,8,[cozy]St Nicholas,49.194,9,,,8,St Nicholas,48.917,6
10,Lexer,42.226,8,,,9,Lexer,41.513,8,,,,9,Lexer,44.638,6,,,9,[ZST]zivecef,49.226,9,,,9,Nails,DNF,6
11,AndMe15,42.283,7,,,10,Zodiak,44.070,8,,,,10,Tritonas1237,45.152,5,,,10,GuAlexItar,49.842,8,,,10,Lexer,DNF,5
12,:Z_::E_::E_::P_: Joking,42.820,7,,,11,matt,42.450,7,,,,11,[heyo]potatotron,45.420,5,,,11,R0nanC,52.118,8,,,,AndMe16,DNF,5
13,Arturxxx,42.742,6,,,12,RoundNzt,DNF,7,,,,12,DeiRex,45.155,4,,,12,Hi Im Yolo,49.928,7,,,12,:Z_::E_::E_::P_: Joking,47.040,4
14,Striking Vyper,42.818,6,,,13,jabob2112,42.030,6,,,,13,Zakusa,DNF,4,,,13,Odist,51.938,7,,,13,EMel_,49.256,4
15,Matic_D,43.299,5,,,14,[cozy]St Nicholas,42.205,6,,,,14,Shadynook,45.761,3,,,14,[TOG]Lazy_Echidna,50.651,6,,,14,Romans138,48.160,3
16,DeiRex,43.498,5,,,15,[CTR]L3it3R,42.146,5,,,,15,[CTR]R0nanC,46.110,3,,,15,ProtioN,50.664,6,,,15,Clowny,48.856,3
17,Nails,DNF,5,,,16,[HRR]Hi Im Yolo,42.218,5,,,,16,gabinepotu,46.273,3,,,16,kAN,50.857,6,,,16,DeiRex,50.570,3
