,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 31,,,,,,COTD 32,,,,,,,COTD 33,,,,,,COTD 34,,,,,,COTD 35,,,
Map: COTD-Into Another Realm by [KURK] Quickracer10,,,,,,Map: Serpentine - COTD #32 by Richhyyyy,,,,,,,Map: COTD 33 - cotd track or somethin' i forgot ;( i made this months ago by [ZST]zivecef,,,,,,Map: COTD 34 - Who Are You by AndMe34,,,,,,Map: Gollur's Pass - COTD #35 by Shadynook,,,
,,Fastest Time: 44.969 by RoundNzt in Round 13,,,,,,Fastest Time: 41.637 by [Choo] ZOMAN in Round 8,,,,,,,Fastest Time: 42.777 by justMaki in Round 9,,,,,,Fastest Time: 44.893 by RoundNzt in Round 11,,,,,,Fastest Time: 41.507 by [Bath] ZOMAN in Round 13,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,RoundNzt,45.141,,,,1,RoundNzt,41.777,,,,,1,justMaki,43.597,,,,1,Linzi,45.181,,,,1,[Bath] ZOMAN,41.768,
2,[RTR]Fwogiie,45.215,14,,,2,[Choo] ZOMAN,41.917,11,,,,2,Lexer,45.645,10,,,2,Kernkob,45.239,13,,,2,[RTR]Fwogiie,41.902,14
3,matt,45.213,13,,,3,[RTR]Fwogiie,42.090,10,,,,3,[goat] schmxrg,DNF,9,,,3,RoundNzt,45.524,12,,,3,RoundNzt,42.019,13
4,Kernkob,45.227,12,,,4,[HRR] readfreak7,42.255,9,,,,4,[CTR]R0nanC,44.498,8,,,4,[WSHD] Renergy,45.706,11,,,4,Hydro,DNF,12
5,Lexer,45.512,11,,,5,[TOG]Lazy_Echidna,42.516,8,,,,5,JobW,DNF,7,,,5,St Nicholas,45.577,10,,,5,Lexer,42.777,11
6,St Nicholas,45.381,10,,,6,[CTR]OwlPlague,42.400,7,,,,,Cliff the Crafter,DNF,7,,,6,A2 Zecklord,45.909,9,,,6,justMaki,DNF*,10
7,[HRR] readfreak7,45.514,10,,,7,Lexer,42.401,7,,,,7,[CTR]L3it3R,46.303,6,,,7,Lexer,45.591,8,,,7,[KURK] Quickracer10,43.977,9
8,Jeyjey,45.817,9,,,8,St Nicholas,42.611,6,,,,8,Shadynook,DNF,6,,,8,[KURK] Quickracer10,DNF,8,,,8,[CTR]R0nanC,44.741,9
9,[TOG]Lazy_Echidna,46.027,9,,,9,[XTR]Hawk,42.626,6,,,,9,Graham The Guy,51.490,5,,,9,agix,46.353,7,,,9,St Nicholas,43.902,8
10,:Z_::E_::E_:P_: Joking,45.879,8,,,10,Shadynook,42.427,5,,,,10,Neb,DNF,5,,,10,[CTR]OwlPlague,DNF,7,,,10,matt,DNF,8
11,[WAM]TheBestMaidens,46.494,8,,,11,[CTR] jandje,1:10.274,5,,,,11,[dumb] Last,DNF,4,,,11,Last,46.952,6,,,11,Last,43.902,7
12,[GV] Principe,46.116,7,,,12,[CTR]R0nanC,42.802,4,,,,,St Nicholas,DNF,4,,,12,[CTR]R0nanC,47.343,6,,,12,Matic_D,45.784,7
13,Shadynook,46.402,7,,,13,Giganten,42.954,4,,,,13,Heart-TGV,48.137,3,,,13,Lynhardt,46.261,5,,,13,[CTR]L3it3R,46.332,6
14,Trapdoor,46.291,6,,,14,[CTR]L3it3R,42.666,3,,,,14,[TOG]Lazy_Echidna,DNF,3,,,14,[CTR]L3it3R,46.284,5,,,14,[CTR]OwlPlague,DNF,6
15,Cactushead,46.340,6,,,15,Romans138,42.983,3,,,,,Diabler,DNF,3,,,15,Graham The Guy,46.372,5,,,,Diabler,DNF,6
16,[CTR]zedShep,46.405,6,,,16,[heyo]potatotron,43.001,3,,,,16,Sann93,48.903,3,,,16,Spyder_0324,DNF,5,,,16,Pants,46.199,5
17,Nails,DNF,6,,,17,Cliff the Crafter,DNF,3,,,,17,cookie,49.485,2,,,17,GuAlexItar,46.560,4,,,17,[XTR] NATHAN,47.713,5
18,[XTR]Hawk,46.541,5,,,18,Neb,43.507,2,,,,18,[WSHD] Renergy,DNF,2,,,18,Romans138,46.677,4,,,18,A2 Zecklord,DNF,5
19,DeiRex,46.841,5,,,19,icRS,43.566,2,,,,,[heyo]Mr. Hubub,DNF,2,,,19,Shadeely,47.056,4,,,,DragonBoi,DNF,5
20,[CTR]OwlPlague,46.915,5,,,20,nate69cam,44.151,2,,,,20,RoundNzt,DNF,1,,,20,MeroMeroNoMi,47.304,4,,,20,Sann93,46.073,4
21,Amxzed,47.340,5,,,21,sirjdog21,44.257,2,,,,,[XTR]Hawk,DNF,1,,,21,Arder,47.981,3,,,21,koz,46.398,4
22,[CTR]R0nanC,47.413,4,,,22,imagineaclevernamehere,45.890,1,,,,,DeiRex,DNF,1,,,22,Shadynook,48.103,3,,,22,Andrei,DNF,4
23,[TOG][KBR] ioi8,47.421,4,,,23,florisdewael,DNF,1,,,,,Lynhardt,DNF,1,,,23,DeiRex,48.206,3,,,,Akane,DNF,4
24,Jinx,47.550,4,,,,Henke,DNF,1,,,,,Giganten,DNF,1,,,24,littlepuppy814,DNF,3,,,24,Kabs666,47.199,3
25,Neb,48.065,4,,,,[Qc] GuillaumePN,DNF,1,,,,,shadeely,DNF,1,,,25,Cliff the Crafter,48.773,2,,,25,DeeDeeNaNaNa,48.349,3
26,DeeDeeNaNaNa,48.194,3,,,,,,,,,,,agix,DNF,1,,,26,=XDC=WOLF,50.279,2,,,26,[XTR]Hawk,DNF,3
27,invisiblecat8,48.459,3,,,,,,,,,,,GuAlexItar,DNF,1,,,27,Akane,52.428,2,,,,PoopSheriff,DNF,3
28,Diabler,DNF,3,,,,,,,,,,,[XTR] NATHAN,DNF,1,,,28,[ZST] Butter,DNF,2,,,28,agix,48.697,2
,FINSTER83,DNF,3,,,,,,,,,,,The Stig,DNF,1,,,29,FINSTER83,DNF,1,,,29,florisdewael,48.855,2
30,vortex,49.096,2,,,,,,,,,,,Zekru,DNF,1,,,,[TOG]ioi8,DNF,1,,,30,GuAlexItar,DNF,2
31,[XTR] NATHAN,49.624,2,,,,,,,,,,,vortex,DNF,1,,,,icRS,DNF,1,,,,alpa\,DNF,2
32,icRS,49.695,2,,,,,,,,,,,md_PL,DNF,1,,,,Hydro,DNF,1,,,32,S1mpl1c1ty,DNF,1
33,[TOOB] Renergy,DNF,2,,,,,,,,,,,icRS,DNF,1,,,,[RTR]Fwogiie,DNF,1,,,,CYBRON7,DNF,1
34,[CTR]L3it3R,DNF,1,,,,,,,,,,,[IZB] Ploddip,DNF,1,,,,cookie,DNF,1,,,,icRS,DNF,1
,BootyMcShooty88,DNF,1,,,,,,,,,,,[SBOI] BootyMcShooty88,DNF,1,,,,DeeDeeNaNaNa,DNF,1,,,,Patty,DNF,1
,Bobsen Duggnut,DNF,1,,,,,,,,,,,Trapdoor,DNF,1,,,,Glump,DNF,1,,,,imagineaclevernamehere,DNF,1
,NatePW,DNF,1,,,,,,,,,,,DeeDeeNaNaNa,DNF,1,,,,pigbenis,DNF,1,,,,BuddhaBladez,DNF,1
,Flamedglitch,DNF,1,,,,,,,,,,,3rdseyeview,DNF,1,,,,[IXB] Ploddip,DNF,1,,,,Rigenix,DNF,1
,GavvyBoi,DNF,1,,,,,,,,,,,,,,,,,damianjanur,DNF,1,,,,[ZST] Butter,DNF,1
,,,,,,,,,,,,,,,,,,,,FreckledBard23,DNF,1,,,,DeiRex,DNF,1
,,,,,,,,,,,,,,,,,,,,DocRee,DNF,1,,,,Mu,DNF,1
,,,,,,,,,,,,,,,,,,,,Midnight,DNF,1,,,,propulsion_man,DNF,1
,,,,,,,,,,,,,,,,,,,,Raf,DNF,1,,,,miese_Katheter,DNF,1
,,,,,,,,,,,,,,,,,,,,Voidsix,DNF,1,,,,,,
,,,,,,,,,,,,,,,,,,,,Some hats!!,DNF,1,,,,*justMaki left the game after setting a time as a noble sacrifice,,
,,,,,,,,,,,,,,,,,,,,Sheepish999,DNF,1,,,,,,
