,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 51,,,,,,COTD 52,,,,,,COTD 53,,,,,,COTD 54,,,,,,COTD 55,,,
Map: Red Hot Inferno by rourie13,,,,,,Map: Chillpeak - COTD #52 by Shadynook,,,,,,Map: COTD 53 - Reflejos de la noche by AndMe53,,,,,,Map: Dead_Space v2 by GearworkDragon,,,,,,Map: cotd_Bops by Khord,,,
,,Fastest Time: 46.044 by ZOMAN in Round 11,,,,,,Fastest Time: 44.261 by [CTR]Kernkob in Round 5,,,,,,Fastest Time: 43.468 by [CTR]Kernkob in Round 5,,,,,,Fastest Time: 46.221 by [CTR]Kernkob in Round 12,,,,,,Fastest Time: 41.720 by RoundNzt in Round 9,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,ZOMAN,46.121,,,,1,[CTR]Kernkob,44.432,,,,1,[CTR]Kernkob,43.567,,,,1,[CTR]Kernkob,46.269,,,,1,RoundNzt,41.877,
2,Linzi,46.407,13,,,2,[CTR]Hydro,44.477,12,,,2,[CTR]Cbad Cruiser,43.932,14,,,2,[CTR] jandje,46.386,13,,,2,[CTR] jandje,DNF,11
3,Butter,46.352,12,,,3,Lexer,44.750,11,,,3,A2 Zecklord,44.096,13,,,3,Lexer,DNF,12,,,3,Lexer,42.342,10
4,justMaki,46.836,11,,,4,Linzi,DNF,10,,,4,Renergy,DNF,12,,,4,St Nicholas,46.927,11,,,4,[CTR]OwlPlague,42.727,9
5,St Nicholas,46.683,10,,,5,JobW,44.902,9,,,5,[CTR]GuAlexItar,44.381,11,,,5,[CTR]Cbad Cruiser,46.116,10,,,5,R0nanC,42.521,8
6,Lexer,47.023,9,,,6,[CHR]Warsnac,45.099,8,,,6,[8]St Nicholas,44.326,10,,,6,RoundNzt,47.185,9,,,6,AndMe16,42.824,7
7,[ZET] rtyyyyb,46.913,8,,,7,[CTR] Sandals,45.374,7,,,7,[vibe]3rdseyeview,44.480,9,,,7,[CTR]GuAlexItar,47.073,8,,,7,Shadynook,43.278,7
8,Pants,46.946,8,,,8,[ZET] rtyyyyb,45.491,7,,,8,Shadynook,44.826,9,,,8,agix,47.210,8,,,8,Kaiser64,43.418,6
9,ArmchairPolymath,47.133,7,,,9,St Nicholas,45.292,6,,,9,[WAM]zivecef,44.788,8,,,9,R0nanC,47.456,7,,,9,Ender,43.751,6
10,[KURK] Quickracer10,47.816,7,,,10,Kaiser64,45.362,6,,,10,[KURK] Quickracer10,45.290,8,,,10,Lynhardt,47.532,7,,,10,[TOG]Lazy_Echidna,44.469,5
11,[CTR]GuAlexItar,47.453,6,,,11,DeiRex,46.901,5,,,11,[CTR]OwlPlague,45.130,7,,,11,DeiRex,47.824,6,,,11,Fatboy,DNF,5
12,agix,47.794,6,,,12,agix,46.982,5,,,12,RoundNzt,45.305,7,,,12,K-Nox,48.220,6,,,12,St Nicholas,DNF,4
13,xBluntz,47.871,5,,,13,Northwind,46.050,4,,,13,[VOID[//////void,44.865,6,,,13,Shadynook,47.651,5,,,,agix,DNF,4
14,[ZET] a_random_tumbleweed,48.311,5,,,14,[CTR]OwlPlague,46.187,4,,,14,Roader,45.052,6,,,14,Khord,48.352,5,,,,icRS,DNF,4
