,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 56,,,,,,COTD 57,,,,,,COTD 58,,,,,,COTW 59,,,,,,COTW 60,,,
Map: COTD #56 - Appleberry Vale by DeeDeeNaNaNa,,,,,,Map: COTD - Sunrise Valley by Hate Hater & Renergy,,,,,,Map: Cape Nuggest by [CTR]Kernkob,,,,,,Map: COTD-Limit Zero by [ATB]reholmes92,,,,,,Map: Palm Freeze - COTW #60 by Maou & St Nic,,,
,,Fastest Time: 45.845 by [CTR]Kernkob in Round 12,,,,,,Fastest Time: 43.151 by [CTR]Kernkob in Round 12,,,,,,Fastest Time: 47.705 by [CTR]Hydro in Final,,,,,,Fastest Time: 38.784 by RoundNzt in Round 10,,,,,,Fastest Time: 42.737 by justMaki in Final,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,[CTR]Kernkob,46.026,,,,1,[CTR]Kernkob,43.454,,,,1,[CTR]Hydro,47.705,,,,1,[CTR]Hydro,38.866,,,,1,justMaki,42.737,
2,ZOMAN,46.070,13,,,2,[CTR] Sandals,44.285,13,,,2,RoundNzt,48.912,13,,,2,[CTR] jandje,38.883,14,,,2,RoundNzt,43.899,12
3,justMaki,46.033,12,,,3,[KURK] Quickracer10,43.957,12,,,3,[CTR]Cbad Cruiser,48.154,12,,,3,[oops] Wombat!,39.001,13,,,3,A2 Zecklord,43.264,11
4,[CTR]Hydro,46.555,11,,,4,Kaiser64,45.153,11,,,4,[CTR] Sandals,48.425,11,,,4,Lexer,38.985,12,,,4,[CTR] Kernkob,43.514,10
5,Naomi,46.219,10,,,5,[CTR]GuAlexItar,44.963,10,,,5,Lexer,48.313,10,,,5,RoundNzt,39.019,11,,,5,[CTR]Hydro,DNF*,9
6,[CTR]Cbad Cruiser,46.425,9,,,6,[CTR] NathWalt,45.078,9,,,6,[CTR]GuAlexItar,48.442,9,,,6,R0nanC,39.148,10,,,6,Lexer,44.054,8
7,[ZET] rtyyyyb,46.620,8,,,7,[CTR]OwlPlague,45.059,8,,,7,Northwind,48.703,8,,,7,PoopSheriff,39.030,9,,,7,[oops] Wombat!,44.365,7
8,Revenger_19,47.035,8,,,8,krisu,46.048,8,,,8,St NIcholas,DNF,8,,,8,Shadynook,39.317,9,,,8,[TOG]Lazy_Echidna,45.019,7
9,Lexer,46.928,7,,,9,Lexer,45.277,7,,,9,[TOG]Lazy_Echidna,49.003,7,,,9,Butter,39.116,8,,,9,[KURK] Quickracer10,44.550,6
10,St Nicholas,46.988,7,,,10,PoopSheriff,45.669,7,,,10,PoopSheriff,49.586,7,,,10,Northwind,39.189,8,,,10,Shadynook,45.567,6
