,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTW 61,,,,,,COTW 62,,,,,,COTW 63,,,,,,COTW 64,,,,,,COTW 65,,,
Map: COTW #61 - Sandy Burrow by RoundNzt & justMaki,,,,,,Map: COTW #62 - All you had to do was catch the train CJ by [CTR] jandje,,,,,,Map: COTW #63 - Planetary Sample Extraction by Sahne mit Bohnen,,,,,,Map: COTW 64 - ribbon mines by [TBD] rtyyyyb,,,,,,Map: COTD 65 - Blue Icey Tundra by rourie13,,,
,,Fastest Time: 43.191 by [CTR]Kernkob in Round 9,,,,,,Fastest Time: 41.354 by [CTR]Hydro in Round 6,,,,,,Fastest Time: 40.287 by [CTR]Kernkob in Final,,,,,,Fastest Time: 43.404 by [AJSE] Quickracer10 in Round 11,,,,,,Fastest Time: 41.731 by justMaki in Round 4,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,[CTR]Kernkob,43.639,,,,1,[CTR]Kernkob,41.620,,,,1,[CTR]Kernkob,40.287,,,,1,[WOW]Hydro,43.430,,,,1,justMaki,42.241,
2,[CTR]Hydro,DNF,13,,,2,Northwind,DNF,15,,,2,Quickracer10,42.279,12,,,2,[CTR]Cbad Cruiser,DNF,14,,,2,[CTR] Sandals,42.314,11
3,[TBD] rtyyyyb,44.631,12,,,3,justMaki,42.328,14,,,3,[CTR]Hydro,DNF,11,,,3,ZOMAN,43.648,13,,,3,[TBD] Renergy,42.826,10
4,Quickracer10,44.505,11,,,4,Lexer,DNF,13,,,4,Lexer,42.717,10,,,4,[ASJE] Quickracer10,43.737,12,,,4,ZOMAN,DNF,9
5,Kaiser64,45.787,10,,,5,[CTR]OwlPlague,42.645,12,,,5,St Nicholas,42.724,9,,,5,[ASJE]Naomi,DNF,11,,,,Lexer,DNF,9
6,PandaMane,45.724,9,,,6,[CTR]GuAlexItar,43.230,11,,,6,[TBD] rtyyyyb,DNF,8,,,6,RoundNzt,43.924,10,,,6,St Nicholas,45.086,8
7,[oops] Wombat!,45.282,8,,,7,DeiRex,43.583,10,,,7,R0nanC,43.845,7,,,7,[KBW] Lynhardt,44.011,9,,,7,[TBD] Principe,DNF,8
8,[TOG]Lazy_Echidna,45.497,8,,,8,icRS,44.137,10,,,8,RoundNzt,DNF,7,,,8,[TBD] Renergy,44.150,9,,,8,[TBD] rtyyyyb,43.655,7
9,[CTR]GuAlexItar,45.880,7,,,9,JobW,43.971,9,,,9,[TBD] Renergy,DNF,6,,,9,Butter,44.177,8,,,9,[KURK[ Quickracer10,44.006,7
10,JobW,DNF,7,,,10,[CTR]Hydro,DNF,9,,,,[CTR] Sandals,DNF,6,,,10,St Nicholas,44.391,8,,,10,loxiww,45.379,6
11,Romans138,45.577,6,,,11,Erko,44.627,8,,,11,[CTR]GuAlexItar,43.265,5,,,11,[PTSD]Psycho No. 7,44.248,7,,,11,Mμ,45.752,6
12,Shadynook,46.732,6,,,12,St Nicholas,DNF,8,,,12,PandaMane,43.541,5,,,12,Lexer,44.352,7,,,12,[ZET]LOLWOOLEY,46.538,5
13,PoopSheriff,45.914,5,,,13,[CTR]PoopSheriff,43.780,7,,,13,[CTR]OwlPlague,44.469,4,,,13,Northwind,44.796,6,,,13,ferinine,DNF,5
14,Northwind,45.928,5,,,14,Wishfull,43.967,7,,,14,maxie12,44.729,4,,,14,[LATE]Shadynook,44.987,6,,,14,Kiprosa,49.238,4
