,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 66,,,,,,COTD 67,,,,,,COTD 68,,,,,,COTD 69,,,,,,COTD 70,,,
Map: COTD-Zeepkist Assembly Line by maxie12,,,,,,Map: COTD - Iliad by icRS,,,,,,Map: COTW - 2 Years by Northwind,,,,,,Map: First Snow by [CRT]Codewalt,,,,,,Map: COTD 70 - Kyaenos Nisi by [KURK] Quickracer10,,,
,,Fastest Time: 39.353 by [CTR]Kernkob in Round 11,,,,,,Fastest Time: 44.344 by ZOMAN in Round 6,,,,,,Fastest Time: 44.296 by [TBD] rtyyyyb in Round 3,,,,,,Fastest Time: 40.018 by [CTR]Kernkob in Round 11,,,,,,Fastest Time: 47.468 by [CTR]Kernkob in Round 8,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,[CTR]Kernkob,39.753,,,,1,RoundNzt,44.502,,,,1,ZOMAN,44.353,,,,1,justMaki,40.172,,,,1,[CTR]Kernkob,47.722,
2,Lexer,40.929,12,,,2,[CTR] Sandals,44.756,14,,,2,[CTR] Sandals,44.46214,15,,,2,[CTR]Kernkob,40.220,17,,,2,[Alex] ZOMAN,47.736,14
3,[CTR] Sandals,DNF,11,,,3,Lexer,45.066,13,,,3,RoundNzt,44.46233,14,,,3,[CTR] Sandals,40.458,16,,,3,RoundNzt,48.185,13
,[CTR]GuAlexItar,DNF,11,,,4,[CTR] NathWalt,45.133,12,,,4,Lexer,44.478,13,,,4,[CTR]Hydro,DNF*,15,,,4,justMaki,47.925,12
5,[KURK] Quickracer10,DNF,10,,,5,[CTR]OwlPlague,45.422,11,,,5,JobW,44.589,12,,,5,Lexer,41.139,14,,,5,[CTR] Sandals,DNF,11
6,[CHR]Warsnac,40.663,9,,,6,Stick,DNF,10,,,6,Lynhardt,44.676,11,,,6,[TBD] rtyyyyb,40.640,13,,,6,A2 Zecklord,48.448,10
7,masterofpi,41.205,9,,,7,St Nicholas,45.549,9,,,7,A2 Zecklord,44.814,11,,,7,[FPV]PandaMane,40.768,12,,,7,[CTR] jandje,DNF,10
8,Stunbot11,43.671,8,,,8,agix,DNF,9,,,8,St Nicholas,44.666,10,,,8,[HRR] readfreak7,40.996,12,,,8,[TBD] rtyyyyb,48.616,9
9,R0nanC,DNF,8,,,9,XpERt,46.032,8,,,9,rtm_lover2007,44.772,10,,,9,St Nicholas,40.972,11,,,9,St Nicholas,49.428,9
10,Northwind,DNF,7,,,10,ZOMAN,DNF,8,,,10,[TBD] rtyyyyb,DNF,9,,,10,Northwind,DNF,11,,,10,Lexer,48.846,8
,[C3PO]Tommygaming5132,DNF,7,,,11,Grimmlon,46.174,7,,,,agix,DNF,9,,,11,RoundNzt,41.386,10,,,11,[CTR] NathWalt,48.899,8
12,RoundNzt,DNF,6,,,12,ferinine,DNF,7,,,12,PandaMane,45.000,8,,,12,[TBD] Renergy,41.388,10,,,12,Linzi,DNF,7
,Bram2323,DNF,6,,,13,[dum[ Y'Rewik,46.804,6,,,13,XpERt,45.036,8,,,13,JobW,41.062,9,,,,Hi Im Yolo,DNF,7
14,Waaksaam,42.07482,5,,,14,Ozone,47.044,6,,,14,palfly,45.014,7,,,14,Hi Im Yolo,41.386,9,,,14,Murrl,48.548,6
15,[ZET]LILWOOLEY,42.07483,5,,,15,Hi Im Yolo,DNF,6,,,15,Shadynook,45.029,7,,,15,[CTR] PoopSheriff,41.715,9,,,15,[CTR]GuAlexItar,49.729,6
16,Shadynook,43.426,5,,,,loxiww,DNF,6,,,16,Hi Im Yolo,45.291,7,,,16,[CTR]GuAlexItar,41.201,8,,,16,[FPV]PandaMane,50.017,6
17,cookie,43.940,5,,,17,[ZET]LILWOOLEY,48.758,5,,,17,DeiRex,45.652,7,,,17,Nails,41.366,8,,,17,Shadynook,50.311,6
18,XpERt,DNF,4,,,18,Kiprosa,49.111,5,,,18,[CTR]GuAlexItar,45.104,6,,,18,[CTR]OwlPlague,41.453,8,,,18,[FORK] A Broken Forklift,49.994,5
,Naomi,DNF,4,,,19,Romans138,DNF,5,,,19,Stick,45.207,6,,,19,DeiRex,41.470,8,,,19,[TOG]Lazy-Echidna,50.172,5
,St Nicholas,DNF,4,,,,alpa\,DNF,5,,,20,masterofpi,45.256,6,,,20,A2 Zecklord,41.425,7,,,20,Stick,DNF,5
,[CTR]Cbad Cruiser,DNF,4,,,21,EMel_,47.609,4,,,21,Tommygaming5132,DNF,6,,,21,icRS,41.429,7,,,,ferinine,DNF,5
,SkarMatrix,DNF,4,,,22,[CTR] jandje,DNF,4,,,22,Matic_D,45.409,5,,,22,376,41.449,7,,,22,icRS,50.297,4
23,Kiprosa,44.329,3,,,,[CTR]GuAlexItar,DNF,4,,,23,Romans138,45.458,5,,,23,Redstonecraft99,41.773,7,,,23,DeeDeeNaNaNa,51.143,4
24,ferinine,46.793,3,,,,[CTR]L3it3R,DNF,4,,,24,ferinine,46.178,5,,,24,agix,41.628,6,,,24,cookie,51.268,4
25,Beans,DNF,3,,,25,NightFury443,49.795,3,,,25,Mμ,DNF,5,,,25,[WAM]Odist,41.706,6,,,25,[RB]Chinpokomon,51.967,4
,[NB] Ykario,DNF,3,,,26,PandaMane,DNF,3,,,26,Waaksaam,45.506,4,,,26,palfly,41.737,6,,,26,[ZET]LILWOOLEY,51.153,3
27,Murrl,DNF,2,,,,Shadynook,DNF,3,,,27,alpa,45.560,4,,,27,DeeDeeNaNaNa,42.338,6,,,27,maxie12,51.189,3
,[TOG]Lazy_Echidna,DNF,2,,,,cookie,DNF,3,,,28,[RB]Chinpokomon,45.743,4,,,28,koz,41.858,5,,,28,Northwind,DNF,3
,[CTR]OwlPlague,DNF,2,,,29,[ZET] Ploddip,55.279,2,,,29,FINSTER83,46.174,4,,,29,TommyGaming5132,41.872,5,,,,Kiprosa,DNF,3
,Hate Hater,DNF,2,,,30,Northwind,DNF,2,,,30,SkarMatrix,46.205,3,,,30,Trapdoor,42.010,5,,,30,Axo,53.195,2
,icRS,DNF,2,,,,[RB]Chinpokomon,DNF,2,,,31,Kiprosa,46.425,3,,,31,Shadynook,42.271,5,,,31,palfly,DNF,2
,[ZET] Ploddip,DNF,2,,,,[ZET]vectortrajector,DNF,2,,,32,Unoriginal_Zero,DNF,3,,,32,Bram2323,43.238,4,,,,Bigge,DNF,2
33,[CTR] PoopSheriff,DNF,1,,,33,[KURK] Quickracer10,DNF,1,,,,cookie,DNF,3,,,33,ZTR177,43.852,4,,,,JoeRobot,DNF,2
,[BEAR] An actual Bear,DNF,1,,,,JobW,DNF,1,,,34,[ZET] Ploddip,46.952,2,,,34,maxie12,45.472,4,,,34,bunzen,DNF,1
,slainsco,DNF,1,,,,[ZET] Wheelie,DNF,1,,,,Grimmlon,DNF,2,,,35,Henke,DNF,4,,,,Jeffrey,DNF,1
,[RB]Chinpokomon,DNF,1,,,,Bigge,DNF,1,,,,[MVT]Moving Target,DNF,2,,,36,Kiprosa,45.927,3,,,,BOB THE GAMER,DNF,1
,,,,,,,[ZET]MackCheesy,DNF,1,,,,Maniac,DNF,2,,,37,[ZET] Ploddip,50.281,3,,,,Jozen,DNF,1
,,,,,,,Axo,DNF,1,,,38,JJSP,DNF,1,,,38,Rayzor6310,DNF,3,,,,Orange,DNF,1
,,,,,,,Dobi_72,DNF,1,,,,SPIFF,DNF,1,,,,[ZET]LILWOOLEY,DNF,3,,,,Werun,DNF,1
,,,,,,,johnthesloth360,DNF,1,,,,jofk2415,DNF,1,,,40,bunzen,49.008,2,,,,,,
,,,,,,,,,,,,,Jackmerius Tacktheritrix,DNF,1,,,41,Heart-TGV,50.814,2,,,,,,
,,,,,,,,,,,,,,,,,,42,ferinine,DNF,2,,,,,,
,,,,,,,,,,,,,,,,,,,[ZET] Wheelie,DNF,2,,,,,,
,,,,,,,,,,,,,,,,,,44,[RB]Chinpokomon,57.148,1,,,,,,
,,,,,,,,,,,,,,,,,,45,jofk2415,DNF,1,,,,,,
,,,,,,,,,,,,,,,,,,,Zeke Ryu'kai,DNF,1,,,,,,
,,,,,,,,,,,,,,,,,,,SPEXWISE,DNF,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"*Yahtzee, again",,,,,,,,
