,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 71,,,,,,COTD 72,,,,,,COTD 73,,,,,,COTD 74,,,,,,COTD 75,,,
Map: (cotd) In Cactus Canyon by [ZET] Wheelie,,,,,,Map: COTD 72- Zwimptop Cruise by [KURK] lil_zwimpie,,,,,,Map: COTW - Seaweed Surf by BB_Benji,,,,,,Map: COTD - The Wisdom Tree V5 by [TTR] Tigerplaysonpc,,,,,,Map: Canoe Regatta by agix,,,
,,Fastest Time: 40.634 by justMaki in Round 5,,,,,,Fastest Time: 40.792 by [KURK] Quickracer10 in Round 11,,,,,,Fastest Time: 42.175 by [CTR]Kernkob in Round 10,,,,,,Fastest Time: 40.100 by justMaki in Final,,,,,,Fastest Time: 41.896 by [CTR]Kernkob in Round 16,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,justMaki,40.742,,,,1,ZOMAN,40.940,,,,1,[CTR]Kernkob,42.215,,,,1,justMaki,40.100,,,,1,[CTR]Kernkob,42.101,
2,[CTR] Sandals,41.835,15,,,2,RoundNzt,41.164,15,,,2,[KURK] Quickracer10,42.588,12,,,2,[KURK] Quickracer10,40.729,15,,,2,[CTR] Sandals,42.234,17
3,RoundNzt,41.188,14,,,3,[CTR] Sandals,41.085,14,,,3,Linzi,43.457,11,,,3,RoundNzt,40.861,14,,,3,[KURK] Quickracer10,42.307,16
4,[YOLO] ZOMAN,41.555,13,,,4,[KURK] Quickracer10,41.016,13,,,4,[CTR]Hydro,43.681,10,,,4,Lexer,41.393,13,,,4,Lexer,42.736,15
5,[CTR] jandje,41.345,12,,,5,Lexer,41.145,12,,,5,[FPV]PandaMane,43.630,9,,,5,St Nicholas,41.347,12,,,5,[CTR]Hydro,42.706,14
6,Lexer,41.300,11,,,6,Linzi,41.253,11,,,6,RoundNzt,DNF,8,,,6,[CTR] Sandals,41.437,11,,,6,RoundNzt,42.718,13
7,Shadynook,41.571,10,,,7,[FPV]PandaMane,41.208,10,,,7,[TBD] rtyyyyb,44.135,7,,,7,Shadynook,41.494,11,,,7,[TBD] rtyyyyb,42.942,12
8,[TBD] rtyyyyb,41.679,10,,,8,[CTR]L3it3R,41.317,10,,,8,Lexer,DNF,7,,,8,[CTR]GuAlexItar,41.651,10,,,8,palfly,42.950,12
9,IStaySideway,42.136,9,,,9,agix,41.434,9,,,9,palfly,44.861,6,,,9,[FPV]PandaMane,41.748,10,,,9,Kaiser64,43.574,11
10,Murrl,DNF,9,,,10,[CTR] PoopSheriff,41.552,9,,,10,Lynhardt,45.437,6,,,10,[CTR]OwlPlague,41.999,9,,,10,[TBD] Principe,DNF,11
11,Mμ,42.908,8,,,11,[CTR]GuAlexItar,41.388,8,,,11,[CTR]L3it3R,45.612,5,,,11,[CRT]NathWalt,42.046,9,,,11,[CTR]GuAlexItar,44.887,10
