,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 76,,,,,,COTD 77,,,,,,COTD 78,,,,,,COTD 79,,,,,,COTD 80,,,
Map: COTD - AquaMarine by justMaki,,,,,,Map: COTD - Sunrise Skies by [CTR] Sandals,,,,,,Map: CotD - Smog by [CTR] PoopSheriff,,,,,,Map: CotD - Athene's Revenge by Ryuji & Ultimate Billy,,,,,,Map: Glome by Weak_Knees,,,
,,Fastest Time: 42.781 by [CTR]Kernkob in Round 10,,,,,,Fastest Time: 42.547 by [CTR]Kernkob in Round 10,,,,,,Fastest Time: 43.196 by [CTR]Hydro in Round 12,,,,,,Fastest Time: 42.884 by [CTR]Kernkob in Final,,,,,,Fastest Time: 41.453 by [KURK] Quickracer10 in Round 2,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,[CTR]Kernkob,43.262,,,,1,[KURK] Quickracer10,42.643,,,,1,[CTR]Hydro,43.629,,,,1,[CTR]Kernkob,42.884,,,,1,[CTR] Sandals,41.924,
2,[CTR] Sandals,43.793,14,,,2,[CTR]Kernkob,42.751,21,,,2,[KURK] Quickracer10,DNF,18,,,2,[CTR]Hydro,43.083,18,,,2,Lexer,41.927,10
3,RoundNzt,43.848,13,,,3,Lexer,43.107,20,,,3,schmxrg,43.771,17,,,3,ZOMAN,43.214,17,,,3,Butter,41.978,9
4,[FPV]PandaMane,DNF,12,,,4,Linzi,43.105,19,,,4,[TBD] rtube,43.998,16,,,4,[KURK] Quickracer10,43.226,16,,,4,[Fly] Socks242,42.065,8
5,rtyyyyb,44.307,11,,,5,RoundNzt,42.988,18,,,5,JobW,DNF,15,,,5,justMaki,43.319,15,,,5,[CTR]GuAlexItar,DNF,7
6,[Fly] Socks242,44.241,10,,,6,Butter,43.097,17,,,6,Northwind,44.267,14,,,6,[CTR]Cbad Cruiser,43.469,14,,,6,Joking,42.609,6
7,Northwind,44.491,9,,,7,[CTR]Cbad Cruiser,43.129,16,,,7,[CTR] Sandals,44.288,13,,,7,Lexer,43.577,13,,,7,[Err] An Actual g00se,DNF,6
8,[CTR]GuAlexItar,44.523,9,,,8,AndMe17,43.214,16,,,8,Beans,44.542,13,,,8,St Nicholas,43.993,13,,,8,Murrl,DNF,5
9,Lexer,44.688,8,,,9,A2 Zecklord,43.418,15,,,9,Lexer,44.232,12,,,9,[CTR] Sandals,43.692,12,,,,FINSTER83,DNF,5
10,St Nicholas,45.592,8,,,10,[TBD] rtyyyyb,43.466,15,,,10,St Nicholas,44.446,12,,,10,Northwind,43.775,12,,,10,[RB]Chinpokomon,44.384,4
11,DeiRex,46.030,7,,,11,[CTR]Hydro,43.251,14,,,11,[ZET]MackCheesy,44.553,11,,,11,[ZET]MackCheesy,43.934,11,,,11,gilgool,44.714,4
12,[KURK] Quickracer10,DNF,7,,,12,[CTR] PoopSheriff,43.412,14,,,12,palfly,44.612,11,,,12,Murrl,44.407,11,,,12,[KURK] Quickracer10,DNF,3
13,palfly,45.127,6,,,13,[ZET]MackCheesy,43.223,13,,,13,agix,44.397,10,,,13,agix,44.184,10,,,,ZOMAN,DNF,3
14,Hi Im Yolo,45.165,6,,,14,St Nicholas,43.229,13,,,14,DeiRex,44.478,10,,,14,[CTR] PoopSheriff,44.224,10,,,,[ZET]MackCheesy,DNF,3
15,[ZET]MackCheesy,45.440,6,,,15,Pants,43.460,13,,,15,[CTR]GuAlexItar,44.740,9,,,15,Grimmlon,44.281,10,,,,daytime,DNF,3
16,[PTSD]Psycho No. 7,45.663,6,,,16,[WAM]zivecef,43.662,13,,,16,[TILT]Redstony,44.759,9,,,16,Joking,44.380,10,,,16,St Nicholas,DNF,2
17,matt,45.967,5,,,17,[PTSD]Psycho No. 7,43.458,12,,,17,Tommygaming5132,45.165,9,,,17,M4rv1nDD,44.533,9,,,,Bank Waffles,DNF,2
18,Joking,46.660,5,,,18,Shadynook,43.713,12,,,18,Murrl,DNF,9,,,18,Kaiser64,44.611,9,,,,[TILT]Redstony,DNF,2
19,[ZET]LILWOOLEY,47.710,5,,,19,Nails,43.877,12,,,19,[ZET]Stick,45.224,8,,,19,[CTR]Mμ,DNF,9,,,,[ZET]Stick,DNF,2
20,maxie12,49.107,5,,,20,[FPV]PandaMane,DNF,12,,,20,[ZET] Wheelie,45.382,8,,,,Shadynook,DNF,9,,,,RoundNzt,DNF,2
21,Nails,47.941,4,,,21,Northwind,43.524,11,,,21,Weak_Knees,DNF,8,,,21,Tommygaming5132,44.440,8,,,,[GLHF]loganbradley714,DNF,2
22,SkarMatrix,DNF,4,,,22,M4rv1nDD,42.652,11,,,,Wishfull,DNF,8,,,22,[ZET] Wheelie,44.464,8,,,,Kiprosa,DNF,2
,FuriousblobFish,DNF,4,,,23,R0nanC,43.656,11,,,23,[FPV]PandaMane,45.337,7,,,23,[CTR]GuAlexItar,44.684,8,,,,Shadynook,DNF,2
,[RB]Chinpokomon,DNF,4,,,24,agix,DNF,11,,,24,Kiprosa,45.385,7,,,24,palfly,44.962,8,,,,variableferret,DNF,2
25,Shadynook,DNF,3,,,25,[CTR]GuAlexItar,43.714,10,,,25,An Actual g00se,45.717,7,,,25,[CTR]OwlPlague,45.069,7,,,,Mortishade,DNF,2
,gilgool,DNF,3,,,26,[ZET]Stick,43.765,10,,,26,Fatboy,46.058,7,,,26,DeiRex,45.267,7,,,,[ZET]LILWOOLEY,DNF,2
,cookie,DNF,3,,,27,palfly,43.814,10,,,27,R0nanC,45.724,6,,,27,[TOG]Lazy_Echidna,45.300,7,,,,Axo,DNF,2
,GodsStrongestScroller,DNF,3,,,28,Joking,43.994,10,,,28,[RB]Chinpokomon,46.473,6,,,28,[GLHF]loganbradley714,45.589,7,,,,Yorie1234,DNF,2
,Noot Noot 42.0,DNF,3,,,29,alpa,44.148,9,,,29,Joking,46.489,6,,,29,Weak_Knees,45.169,6,,,,[ZET]Sword125,DNF,2
,Big Daddy O'Leary,DNF,3,,,30,[ZMS] Metalted,44.277,9,,,30,[ZAP] Principe,DNF,6,,,30,ferinine,45.609,6,,,30,snugglykitty,DNF,1
,Quad,DNF,3,,,31,Bram2323,44.537,9,,,31,variableferret,46.521,5,,,31,Bank Waffles,DNF,6,,,,Northwind,DNF,1
,Snf7unk,DNF,3,,,32,Weak_Knees,44.816,9,,,32,Mortishade,46.640,5,,,,Kiprosa,DNF,6,,,,[NOOB]SkyVirus,DNF,1
33,[TOG]Lazy_Echidna,DNF,2,,,33,[CTR]Mμ,44.352,8,,,33,Noxitu,46.713,5,,,33,[ZET]frenchteost,45.689,5,,,,Pants,DNF,1
,Half-Qilin,DNF,2,,,34,DeiRex,44.408,8,,,34,embalmer,46.966,5,,,34,Mortishade,46.146,5,,,,Domhnall,DNF,1
,alpa,DNF,2,,,35,[TOG]Lazy_Echidna,44.476,8,,,35,ferinine,46.174,4,,,35,Ender,46.408,5,,,,Noxitu,DNF,1
,Kiprosa,DNF,2,,,36,Goldfish,44.857,8,,,36,Form,46.246,4,,,36,OLR94,50.925,5,,,,[CTR] PoopSheriff,DNF,1
,Keeper,DNF,2,,,37,Mortishade,44.540,7,,,37,[CTR]Kernkob,DNF,4,,,37,[ZET]LILWOOLEY,49.264,4,,,,palfly,DNF,1
,daytime,DNF,2,,,38,gilgool,44.864,7,,,,[ZET]frenchteost,DNF,4,,,38,snugglykitty,51.013,4,,,,Drrcp,DNF,1
,[ZET]frenchteost,DNF,2,,,39,bunzen,44.813,7,,,39,Kilandor,47.293,3,,,39,[gorp]//////void,DNF,4,,,,Chuckyesduro,DNF,1
,aether34,DNF,2,,,40,Cactushead,DNF,7,,,40,GoBigGoHotWheels,47.357,3,,,40,cookie,DNF,4,,,,Hi Im Yolo,DNF,1
41,Mejolarsson,DNF,1,,,41,a_random_tumbleweed,44.772,6,,,41,bunzen,47.393,3,,,41,variableferret,50.121,3,,,,[ZET]vectortrajector,DNF,1
,ElectroSalamander,DNF,1,,,42,Fatboy,44.877,6,,,42,RoundNzt,DNF,3,,,42,Form,50.831,3,,,,[Pain]ferinine,DNF,1
,imagineaclevernamehere,DNF,1,,,43,[BoF3] Zeke Ryu'kai,44.962,6,,,43,kotosy,47.469,2,,,43,icRS,DNF,3,,,,[TBD] rtube,DNF,1
,ferinine,DNF,1,,,44,jofk2415,44.964,6,,,44,Kroete,48.844,2,,,,gatlinggun511,DNF,3,,,,agix,DNF,1
,Apokus,DNF,1,,,45,koz,45.248,5,,,45,[ZET]LILWOOLEY,DNF,2,,,45,redal,50.283,2,,,,elekvault,DNF,1
,SneezyPilar,DNF,1,,,46,[ZET]LILWOOLEY,45.731,5,,,,JoeRobot,DNF,2,,,46,Noxitu,DNF,2,,,,redal,DNF,1
,GKZimm,DNF,1,,,47,[RB]Chinpokomon,45.732,5,,,47,Heart-TGV,DNF,1,,,,imagineaclevernamehere,DNF,2,,,,bunzen,DNF,1
,Heart-TGV,DNF,1,,,48,FINSTER83,DNF,5,,,48,[ZET]vectortrajector,DNF,1,,,,[ZET]vectortrajector,DNF,2,,,,[CHL] Doisoi,DNF,1
,Snowick_,DNF,1,,,49,Chezboog,45.166,4,,,49,[ZET]Sword125,DNF,1,,,49,SkyVirus,DNF,1,,,,Sunraku,DNF,1
,jjofk2415,DNF,1,,,50,ElectricCaveman,45.370,4,,,,,,,,,,Sprinty,DNF,1,,,,,,
,,,,,,51,ZOMAN,DNF,4,,,,,,,,,,[ZET]Sword125,DNF,1,,,,,,
,,,,,,,SkarMatrix,DNF,4,,,,,,,,,,,,,,,,,,
,,,,,,53,Heart-TGV,45.339,3,,,,,,,,,,,,,,,,,,
,,,,,,54,Noxitu,45.520,3,,,,,,,,,,,,,,,,,,
,,,,,,55,SneezyPilar,45.877,3,,,,,,,,,,,,,,,,,,
,,,,,,56,Kilandor,46.626,3,,,,,,,,,,,,,,,,,,
,,,,,,57,SwagTomaton,45.679,2,,,,,,,,,,,,,,,,,,
,,,,,,58,Movvgli,45.753,2,,,,,,,,,,,,,,,,,,
,,,,,,59,Invisible,46.810,2,,,,,,,,,,,,,,,,,,
