,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 1,,,,,,COTD 2,,,,,,COTD 3,,,,,,COTD 4,,,,,,COTD 5,,,
Map: COTD1_Final by [CTR] Sandals,,,,,,Map: Vapor Flow (COTD#2) by justMaki,,,,,,Map: Enjoy your stay Bob! - COTD #3 by [CTR] jandje,,,,,,Map: Containment - COTD 4 by The Maou,,,,,,Map: Calamity of the Day by [CTR]TwoFace,,,
,,Fastest Time: 45.883 by ZOMAN in Round 9,,,,,,Fastest Time: 48.087 by Sniffals in Round 6,,,,,,Fastest Time: 42.356 by justMaki in Round 5,,,,,,Fastest Time: 41.767 by [CTR] jandje in Round 5,,,,,,Fastest Time: 40.902 by justMaki in Round 5,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,justMaki,46.085,,,,1,[CTR] Sandals,48.775,,,,1,justMaki,42.478,,,,1,RoundNzt,41.999,,,,1,justMaki,41.099,
2,jandje,46.217,11,,,2,Sniffals,DNF,11,,,2,Warcans,43.518,15,,,2,[CTR] jandje,42.124,14,,,2,[CTR] jandje,41.398,13
3,ZOMAN,46.192,10,,,3,ZOMAN,48.861,10,,,3,[CTR] Sandals,44.318,14,,,3,[CTR] LupensCruor,42.868,13,,,3,ZOMAN,41.543,12
4,[CTR]TheBamboozler,46.638,9,,,4,[PFE] readfreak7,DNF,9,,,4,DragonBoi,45.863,13,,,4,Warcans,DNF,12,,,4,PoleLord,41.814,11
5,[CTR] OwlPlague,47.168,8,,,5,Warcans,DNF,8,,,5,[RTR] Hydro,45.206,12,,,5,[CTR] Sandals,42.946,11,,,5,[CTR] NathWalt,41.931,10
6,Sniffals,47.506,7,,,,Lazy_Echidna,DNF,8,,,6,Metalted,45.631,11,,,6,St Nicholas,44.423,10,,,6,RoundNzt,41.436,9
7,[OR] rsgold,48.124,7,,,7,Socks242,50.272,7,,,7,St Nicholas,46.275,11,,,7,[CTR] NathWalt,44.286,9,,,7,Psycho No. 7,42.019,9
8,RoundNzt,47.961,6,,,8,St Nicholas,50.314,7,,,8,RoundNzt,45.675,10,,,8,Mark,DNF,9,,,8,Mark,41.741,8
9,Akane,48.320,6,,,9,Akane,50.998,6,,,9,[PFE] readfreak7,45.799,10,,,9,Kodiak,44.875,8,,,9,[CTR] TheBamboozler,DNF,8
10,Llama_Lordie,48.349,5,,,10,DeiRex,51.390,6,,,10,[CTR] OwlPlague,46.168,9,,,10,Envious*,46.826,8,,,10,[CTR] R0nanC,42.038,7
11,L3it3R,48.453,5,,,11,[CTR]R0nanC,DNF,6,,,11,invisiblecat8,47.408,9,,,11,Akane,47.312,7,,,11,St Nicholas,42.142,7
