,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 21,,,,,,COTD 22,,,,,,COTD 23,,,,,,COTD 24,,,,,,COTD 25,,,
Map: Red Run COTD by GrahamPlayz8,,,,,,Map: COTD - Bobcup by readfreak7,,,,,,Map: COTD - Scopophobia by [CTR]zedShep,,,,,,Map: COTD - Insurgence by Linzi,,,,,,Map: Gridly Bears by TheCardq,,,
,,Fastest Time: 43.964 by RoundNzt in Round 13,,,,,,Fastest Time: 48.579 by [CTR]Cbad Cruiser in Final,,,,,,Fastest Time: 48.097 by justMaki in Round 8,,,,,,Fastest Time: 44.537 by Kernkob in Final,,,,,,Fastest Time: 43.174 by justMaki in Round 9,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,RoundNzt,44.094,,,,1,[CTR]Cbad Cruiser,48.579,,,,1,ZOMAN,48.400,,,,1,Kernkob,44.537,,,,1,RoundNzt,43.292,
2,[TD38] TraNin,44.405,14,,,2,[CTR] jandje,48.831,14,,,2,Butter,48.501,12,,,2,jandje,44.978,15,,,2,justMaki,43.446,12
3,SadD0ge,44.554,13,,,3,justMaki,48.861,13,,,3,Kernkob,48.411,11,,,3,ZOMAN,45.092,14,,,3,Lexer,43.638,11
4,MystiCookies,44.623,12,,,4,RoundNzt,48.806,12,,,4,justMaki,DNF,10,,,4,justMaki,45.164,13,,,4,SadD0ge,44.283,10
5,Zodiak,44.712,11,,,5,Zodiak,48.972,11,,,5,[CTR] jandje,48.323,9,,,5,RoundNzt,45.280,12,,,5,[RIP]Hi Im Yolo,44.768,9
6,A Broken Forklift,44.742,10,,,6,[CTR] Sandals,49.278,10,,,6,Erko,48.431,8,,,6,Renergy,45.631,11,,,6,[SLOW]ZOMAN,DNF,8
7,[CTR]TwoFace,44.998,9,,,7,JobW,49.405,9,,,7,A2 Zecklord,48.392,7,,,7,im washed [zodiakism],45.699,10,,,,A2 Zecklord,DNF,8
8,[ZST] zivecef,45.036,9,,,8,[CTR]OwlPlague,49.447,9,,,8,[CTR]Cbad Cruiser,48.420,7,,,8,MysticVoid,45.709,10,,,8,fer1099,45.211,7
9,Butter,45.593,8,,,9,[CTR]R0nanC,49.450,8,,,9,DeiRex,49.080,6,,,9,[CTR]TheBamboozler,45.983,9,,,9,[HUGS]Phoenjx,45.683,7
10,[CTR]L3it3R,46.271,8,,,10,[BGR] Joking,49.699,8,,,10,[CTR]TheBamboozler,DNF,6,,,10,A2 Zecklord,46.244,9,,,10,Nails,46.252,6
11,[CTR]R0nanC,45.534,7,,,11,[KURK] Quickracer10,49.437,7,,,11,[BGR] Joking,48.655,5,,,11,[ZST] zivecef,46.022,8,,,11,DeiRex,46.856,6
12,AndMe14,DNF*,7,,,12,Jurst,49.463,7,,,12,Zodiak,DNF,5,,,12,St Nicholas,46.080,8,,,12,FINSTER83,47.971,5
13,Jmal :^),45.003,6,,,13,DeiRex,49.589,6,,,13,Linzi,48.792,4,,,13,[CTR]TwoFace,46.267,7,,,13,Akane,DNF,5
14,Lexer,45.117,6,,,14,St Nicholas,49.685,6,,,14,Hi Im Yolo,48.922,4,,,14,[CTR] Sandals,46.292,7,,,14,Lazy_Echidna,46.639,4
15,Saty,45.189,6,,,15,Partheniki,50.063,6,,,15,[CTR]OwlPlague,DNF,4,,,15,[CTR]R0nanC,46.866,7,,,15,Cactushead,47.594,4
16,Iijil,45.251,6,,,16,vortex,49.867,5,,,16,[IRS] tws20so,DNF,4,,,16,A Broken Forklift,46.659,6,,,16,temp_*****,DNF,4
17,Beans,45.295,5,,,17,ITz_Willleeman,49.951,5,,,17,Kaiser64,49.379,3,,,17,[CTR]OwlPlague,46.743,6,,,,Meiko,DNF,4
18,Lazy_Echidna,45.317,5,,,18,FINSTER83,50.178,5,,,18,[RTR] Not That Guy,51.298,3,,,18,DeiRex,47.372,6,,,18,Bridaggs,DNF,3
19,St Nicholas,45.706,5,,,19,Phoenjx,50.247,5,,,19,A Broken Forklift,DNF,3,,,19,dirtyboy58,47.628,6,,,,Jurst,DNF,3
20,DragonBoi,47.699,5,,,20,Hi Im Yolo,50.199,4,,,20,FINSTER83,DNF,3,,,20,Lazy_Echidna,48.016,5,,,,[CTRN]Tritonas1237,DNF,3
21,[OR] Roader,45.987,4,,,21,[CTR]L3it3R,50.325,4,,,21,[XTR] NATHAN,49.764,2,,,21,bernhard,48.041,5,,,,thefirstcoolone,DNF,3
22,ZOMAN,DNF*,4,,,22,Butter,50.518,4,,,22,TimPanZee,DNF,2,,,22,[CTR]L3it3R,48.257,5,,,22,GrahamPlayz8,DNF,2
23,CodeWalt,DNF,4,,,23,[XTR]Hawk,DNF,4,,,,Zahlharrass,DNF,2,,,23,Akane,48.262,5,,,,[OR]St Nicholas,DNF,2
,Revenger_19,DNF,4,,,24,A Broken Forklift,50.569,3,,,,Lexer,DNF,2,,,24,Cactushead,50.295,4,,,,AndMe15,DNF,2
25,GuAlexItar,45.565,3,,,25,Forewander,50.573,3,,,25,schmxrg,DNF,1,,,25,ttv/FloshaHD,50.620,4,,,,[CTR]TwoFace,DNF,2
