,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 101,,,,,,COTD 102,,,,,,,COTD 103,,,,,,COTD 104,,,,,,COTD 105,,,
Map: COTD #101 - Violence Doughnut by Sahne mit Bohnen,,,,,,Map: COTD - The Bluey Red Planet That Has Bits Of Yellow Colouring In It v4 by [TTR] Tigerplaysonpc,,,,,,,Map: COTD - Inspiration II by Northwind,,,,,,Map: COTD - wait this doesn't feel like a maki map by justMaki,,,,,,Map: COTD - Brr Brr Patapim! by [ZET]Sword125,,,
,,Fastest Time: 41.252 by Kernkob in Final,,,,,,Fastest Time: 41.094 by justMaki in Final,,,,,,,Fastest Time: 46.725 by Kernkob in Round 16,,,,,,Fastest Time: 41.015 by Lexer in Round 12,,,,,,Fastest Time: 41.849 by Kernkob in Round 16,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,Kernkob,41.252,,,,1,justMaki,41.094,,,,,1,Kernkob,46.881,,,,1,[CTR]agix,41.250,,,,1,Kernkob,41.890,
2,[KURK] Quickracer10,41.802,16,,,2,Kernkob,41.280,18,,,,2,k2blue,DNF,17,,,2,ZOMAN,41.695,16,,,2,[KURK] Quickracer10,42.005,18
3,[CTR] Sandals,42.054,15,,,3,ZOMAN,41.505,17,,,,3,[SWMG]SadD0ge,47.505,16,,,3,MackCheesy,DNF,15,,,3,Lexer,42.186,17
4,Hi Im Yolo,42.618,14,,,4,Murrl,41.671,16,,,,4,Lexer,47.388,15,,,4,Lexer,41.757,14,,,4,JobW,42.571,16
5,Lexer,42.501,13,,,5,[KURK] Quickracer10,41.692,15,,,,5,[CTR] Sandals,47.578,14,,,5,Kernkob,DNF,13,,,5,MackCheesy,42.214,15
6,rtube,42.459,12,,,6,[CSC] An Actual g00se,41.909,14,,,,6,MackCheesy,DNF,13,,,6,[Stc3]Redstony,42.028,12,,,6,[CTR] Sandals,42.288,14
7,[CSC]Tommygaming,42.826,12,,,7,[CTR] Sandals,DNF,13,,,,7,[KURK] Quickracer10,DNF,12,,,7,[CTR]Mμ,42.214,11,,,7,Kaktus05,42.516,13
8,magical,42.658,11,,,,MackCheesy,DNF,13,,,,,[COMY]AndMe17,DNF,12,,,8,ping,42.790,11,,,8,RoundNzt,42.547,13
9,MackCheesy,43.226,11,,,9,ping,42.212,12,,,,9,ping,47.616,11,,,9,[COMY]Weak_Knees,42.502,10,,,9,[CSC] Shadynook,42.626,12
10,A2 Zecklord,42.698,10,,,10,Yoshi,42.323,12,,,,10,[CSC] Shadynook,47.782,11,,,10,St Nicholas,42.630,10,,,10,[CTR]Mortishade,42.684,12
11,[CTR]Mμ,DNF,10,,,11,Lexer,42.028,11,,,,11,[CSC]Tommygaming,48.013,10,,,11,[ZET] Wheelie,43.017,9,,,11,[ZAP] Principe,42.450,11
12,[FPV]PandaMane,DNF,9,,,12,gilgool,42.176,11,,,,12,Zodiak,DNF,10,,,12,Diabler,43.248,9,,,12,Murrl,42.498,11
,agix,DNF,9,,,13,[ZET]Ploddip,42.167,10,,,,13,[CSC] DeeDeeNaNaNa,47.925,9,,,13,[CTR] Sandals,42.671,8,,,13,[CTR]Mμ,42.626,10
14,[CTR]GuAlexItar,42.765,8,,,14,DeiRex,42.937,10,,,,14,[CSC] redal,47.984,9,,,14,[Meow]RadAbsRad,42.684,8,,,14,[CSC] redal,42.751,10
15,[CSC] Shadynook,42.984,8,,,15,agix,42.332,9,,,,15,Hi Im Yolo,47.994,9,,,15,[FPV]PandaMane,44.899,8,,,15,[SWMG]SadD0ge,DNF,10
16,St Nicholas,43.773,8,,,16,[CTR]Mortishade,42.399,9,,,,16,[CTR] PoopSheriff,48.113,9,,,16,[CTR]GuAlexItar,42.804,7,,,16,B_ES,42.581,9
17,JobW,DNF,8,,,17,St Nicholas,43.461,9,,,,17,Form,48.329,8,,,17,RoundNzt,43.263,7,,,17,ping,42.680,9
18,FINSTER83,43.480,7,,,18,RoundNzt,DNF,9,,,,18,[CTR]Striking Vyper,48.510,8,,,18,[TOG]Lazy_Echidna,43.618,7,,,18,gilgool,42.905,9
19,Form,43.969,7,,,19,MMXD18,42.440,8,,,,19,A2 Zecklord,DNF,8,,,19,Nails,DNF,7,,,19,[TOG]Lazy_Echidna,42.909,9
20,Matic_D,44.350,7,,,20,magical,42.566,8,,,,,[CTR]Mμ,DNF,8,,,20,Form,43.621,6,,,20,[CTR]GuAlexItar,42.704,8
21,[ZET] Wheelie,DNF,7,,,21,Zodiak,42.659,8,,,,21,Matic_D,48.746,7,,,21,[CSC] DeeDeeNaNaNa,43.756,6,,,21,Nails,42.882,8
22,[CSC]DeeDeeNaNaNa,44.392,6,,,22,alpa,42.879,8,,,,22,Orthros,48.867,7,,,22,[CSC] variableferret,44.169,6,,,22,St Nicholas,42.942,8
23,Waaksaam,45.424,6,,,23,[FPV]PandaMane,42.639,7,,,,23,[ZET] Wheelie,DNF,7,,,23,[CTR]Mortishade,44.680,6,,,23,[CTR]agix,DNF,8
24,[SWMG]SadD0ge,47.562,6,,,24,[CTR]Mμ,42.647,7,,,,,brrryy,DNF,7,,,24,bunzen,44.717,5,,,24,magical,42.911,7
25,Kaktus05,DNF,6,,,25,[CSC] DeeDeeNaNaNa,42.936,7,,,,25,[COMY]Weak_Knees,48.708,6,,,25,[CSC] Shadynook,44.829,5,,,25,[sad]rtube,42.967,7
26,B_ES,44.965,5,,,26,[TOG]Lazy_Echidna,DNF,7,,,,26,Kaktus05,48.764,6,,,26,[DHLU]MarcSubstitute,45.388,5,,,26,[RB]Chinpokomon,43.644,7
27,[COMY]AndMe17,45.658,5,,,27,Northwind,43.435,6,,,,27,Noxitu,48.951,6,,,27,Catch,46.158,5,,,27,[COMY]Weak_Knees,DNF,7
28,Gerfboy,48.480,5,,,28,Matic_D,43.443,6,,,,28,[CTR]Mortishade,DNF,6,,,28,Gerfboy,45.854,4,,,28,Beans,43.268,6
29,[ZET]Sword125,DNF,5,,,29,deadlleg,DNF,6,,,,29,[RB]Chinpokomon,49.351,5,,,29,Fatboy,46.206,4,,,29,maxie12,43.372,6
30,koz,45.788,4,,,,brrryy,DNF,6,,,,30,[CTR]Lamp,49.411,5,,,30,[CTR]Moody,46.461,4,,,30,MMXD18,43.564,6
31,[CTR]Lamp,46.040,4,,,31,Wotterbytes,43.689,5,,,,31,[DHLU]MarcSubstitute,50.527,5,,,31,ArcticMammoth,47.179,4,,,31,[CTR]OwlPlague,DNF,6
32,[KURK] lil_zwimpie,46.902,4,,,32,bunzen,44.026,5,,,,32,FINSTER83,DNF,5,,,32,wokonbike,47.015,3,,,32,MetalCJ,43.287,5
33,Reamerad,DNF,4,,,33,Noxitu,44.440,5,,,,33,[CSC]OLR94,50.344,4,,,33,Pot4t,49.640,3,,,33,SKULL,43.342,5
34,Kosacade,47.175,3,,,34,JobW,DNF,5,,,,34,St Nicholas,DNF,4,,,34,quint097,50.883,3,,,34,[BOGO]BOB THE GAMER,43.744,5
35,Apokus,DNF,3,,,35,[RB]Chinpokomon,43.808,4,,,,,Pants,DNF,4,,,35,  Kratts  ,DNF,3,,,35,[CTR]Moody,43.778,5
,Noxitu,DNF,3,,,36,[ZET] Wheelie,43.810,4,,,,,[CTR]Moody,DNF,4,,,36,Jaydark,49.749,2,,,36,[DHLU]MarcSubstitute,44.031,4
,[Frik] DinoDeano,DNF,3,,,37,[COMY]Weak_Knees,44.044,4,,,,37,Gerfboy,50.890,3,,,37,[CTR]Lamp,DNF,2,,,37,[ZET]LILWOOLEY,44.179,4
38,[TOG]Lazy_Echidna,DNF,2,,,38,[KBR] Panda,DNF,4,,,,38,[CTR]GuAlexItar,DNF,3,,,,TwoFace,DNF,2,,,38,MacroMelon,44.200,4
,[COMY]Weak_Knees,DNF,2,,,39,[ZET]LILWOOLEY,44.285,3,,,,,Andrew8Kavanagh,DNF,3,,,,Hagavi,DNF,2,,,39,Pants,DNF,4
,Dartho Mas,DNF,2,,,40,koprol In de kringloop,44.602,3,,,,,Sensfan90,DNF,3,,,40,Gaspacio,DNF,1,,,40,Gerfboy,44.172,3
,[RB]Chinpokomon,DNF,2,,,41,Hellmet,44.920,3,,,,41,alpa,DNF,2,,,,Zodiak,DNF,1,,,41,bunzen,44.538,3
42,[ZET]LILWOOLEY,DNF,1,,,42,CentimeterPeter,45.247,3,,,,,Joe-bgaming,DNF,2,,,,cattelan03,DNF,1,,,42,Dartho Mas,44.542,3
,bunzen,DNF,1,,,43,Gerfboy,46.263,2,,,,,bunzen,DNF,2,,,,shipbopskidop,DNF,1,,,43,Noxitu,DNF,3
,Sääron,DNF,1,,,44,imagineaclevernamehere,47.616,2,,,,,wokonbike,DNF,2,,,,,,,,,44,[CTR]Lamp,DNF,2
,aizpun,DNF,1,,,45,Skyes,49.838,2,,,,,LB_happy-face,DNF,2,,,,,,,,,,Babup,DNF,2
,,,,,,46,[ZET]Sword125,DNF,2,,,,46,mezalsgreat,54.578,1,,,,,,,,,,TheChemist,DNF,2
,,,,,,47,Dartho Mas,55.973,1,,,,47,imagineaclevernamehere,55.386,1,,,,,,,,,,Geoloco,DNF,2
,,,,,,48,[CSC] Shadynook,DNF,1,,,,48,Beyer_Garratt,DNF,1,,,,,,,,,48,smaier29,45.722,1
,,,,,,,[CTR]Lamp,DNF,1,,,,,,,,,,,,,,,,49,TRIPLe HeLeX,DNF,1
