,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 116,,,,,,COTD 117,,,,,,COTD 118,,,,,,COTD 119,,,,,,COTD 120,,,
Map: Glowlatile Void by Joe-bgaming and Tm-Style,,,,,,Map: COTD #117 - Inner focus by [CSC]Mokster,,,,,,Map: COTD - Hell Bridge by OgelGames,,,,,,Map: COTD - Galatica by IronDragon111000,,,,,,Map: CotD - Northern Lights by [TTR]MetalCJ,,,
,,Fastest Time: 47.623 by ZOMAN in Round 15,,,,,,Fastest Time: 40.796 by justMaki in Round 7,,,,,,Fastest Time: 41.404 by ZOMAN in Round 14,,,,,,Fastest Time: 46.677 by Kernkob in Final,,,,,,Fastest Time: 44.829 by [BAP] justMaki in Round 12,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,[Zzz] ZOMAN,47.763,,,,1,[BAP] ZOMAN,41.043,,,,1,ZOMAN,41.484,,,,1,Kernkob,46.677,,,,1,Lexer,45.879,
2,[KURK] Quickracer10,48.038,19,,,2,Kernkob,41.070,18,,,2,[CTR]Sandals,DNF,17,,,2,[BAP] justMaki,47.020,18,,,2,[BAP] justMaki,DNF,18
3,Linzi,47.948,18,,,3,[BAP]justMaki,41.406,17,,,3,k2blue,42.287,16,,,3,[KURK] Quickracer10,47.117,17,,,3,RoundNzt,46.837,17
4,Lexer,47.904,17,,,4,[CTR]Sandals,41.438,16,,,4,Lexer,42.442,15,,,4,k2blue,47.147,16,,,4,ZOMAN,46.568,16
5,[CTR]Sandals,DNF,16,,,5,Lexer,42.662,15,,,5,[CSC] An Actual g00se,42.644,14,,,5,[CSC]Tommygaming,47.323,15,,,5,[FPV]PandaMane,46.853,15
6,[CSC] An Actual g00se,48.213,15,,,6,[SWMG]SadD0ge,DNF,14,,,6,[no] ping,42.861,13,,,6,JobW,47.386,14,,,6,Kernkob,DNF,14
7,[CTR]Mμ,48.235,14,,,7,Murrl,42.819,13,,,7,B_ES,42.973,13,,,7,[CTR]Sandals,47.396,13,,,7,[KURK] Quickracer10,46.582,13
8,[CTR]Cbad Cruiser,48.394,14,,,8,[CSC] redal,42.456,13,,,8,Mr. Hubub,42.819,12,,,8,RoundNzt,47.663,13,,,8,[CSC]AndMe17,47.159,13
9,[CSC]Tommygaming,48.260,13,,,9,[COMY]Weak_Knees,42.937,12,,,9,[BAP]rtube,DNF,12,,,9,MackCheesy,47.569,12,,,9,[CTR]Sandals,46.598,12
10,[FPV]PandaMane,48.465,13,,,10,[CTR]Mortishade,DNF,12,,,10,[CSC] DeeDeeNaNaNa,43.292,11,,,10,[CTR]Beans,47.773,12,,,10,[SWMG]SadD0ge,DNF,12
11,ping,48.478,12,,,11,[CTR]OwlPlague,43.085,11,,,11,[CSC] redal,43.563,11,,,11,agix,47.602,11,,,11,JobW,DNF,11
12,[ERR]ferinine,48.698,12,,,12,R0nanC,43.100,11,,,12,[CTR]Mortishade,43.592,10,,,12,Lexer,47.842,11,,,,[CSC] An Actual g00se,DNF,11
13,[COMY]Weak_Knees,48.579,11,,,13,graysonvitek88,44.539,10,,,13,Northwind,45.805,10,,,13,[CSC] redal,47.940,10,,,13,[CTR]GuAlexItar,46.607,10
14,[CSC]AndMe17,48.828,11,,,14,agix,DNF,10,,,14,[CSC] Shadynook,43.586,9,,,14,[CTR]GuAlexItar,48.151,10,,,14,[CSC]Tommygaming,46.788,10
15,RoundNzt,49.411,11,,,15,RoundNzt,DNF,9,,,15,St Nicholas,43.845,9,,,15,[CTR]Mμ,DNF,10,,,15,[CTR]Mortishade,47.103,10
16,[CSC] DeeDeeNaNaNa,49.846,10,,,,[CTR]Mμ,DNF,9,,,16,[TOG]Lazy_Echidna,44.116,9,,,16,Hi Im Yolo,47.944,9,,,16,MackCheesy,DNF,10
