,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 121,,,,,,COTD 122,,,,,,COTD 123,,,,,,COTD 124,,,,,,COTD 125,,,
Map: COTD - Cave of the Day by Striking Vyper,,,,,,Map: COTD - Dawn Driving by [CSC]Tommygaming,,,,,,Map: Alp City by Kernkob,,,,,,Map: COTD #124 - Bunglham Oast by DeeDeeNaNaNa,,,,,,Map: COTD-Equinox Explosion by [ZET] Wheelie & Zodiak,,,
,,Fastest Time: 45.269 by ZOMAN in Round 12,,,,,,Fastest Time: 45.233 by [CD] Jakie in Round 13,,,,,,Fastest Time: 44.950 by ZOMAN in Round 12,,,,,,Fastest Time: 45.886 by Sterben in Final,,,,,,Fastest Time: 40.226 by Kernkob in Round 15,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,[CD]SadD0ge,45.787,,,,1,[CD]SadD0ge,45.477,,,,1,ZOMAN,44.955,,,,1,Sterben,45.886,,,,1,ZOMAN,40.294,
2,[KURK] Quickracer10,45.895,16,,,2,[CTR]Sandals,45.563,17,,,2,Lexer,45.296,17,,,2,[Nzt]Kernkob,46.076,17,,,2,justMaki,40.388,17
3,[BAP]Sterben,45.934,15,,,3,[OOPS]MackCheesy,45.825,16,,,3,RoundNzt,DNF*,16,,,3,ZOMAN,46.225,16,,,3,Kernkob,40.359,16
4,[OOPS]Tommygaming,DNF,14,,,4,[CD] Jakie,DNF,15,,,4,[CTR]Sandals,DNF,15,,,4,[KURK] Quickracer10,DNF,15,,,4,Lexer,41.115,15
5,ZOMAN,DNF,13,,,5,[GREM]PandaMane,46.870,14,,,5,[Quac] microways,DNF,14,,,5,[SWMG]JakeAdjacent,DNF,14,,,5,RoundNzt,40.673,14
6,MackCheesy,47.207,12,,,6,RoundNzt,45.970,13,,,6,[GREM]PandaMane,45.759,13,,,6,justMaki,46.205,13,,,6,[SWMG]JakeAdjacent,40.797,13
7,[CSC]AndMe17,46.268,11,,,7,[CC] Quickracer10,45.868,12,,,7,MackCheesy,45.789,13,,,7,Jakie,46.305,12,,,7,[CTR]Sandals,40.710,12
8,Orthros,46.742,11,,,8,agix,45.927,12,,,8,Jakie,45.743,12,,,8,RoundNzt,48.776,12,,,8,[Quac] microways,40.857,12
9,[CTR]Mortishade,47.175,10,,,9,Linzi,46.033,11,,,9,Northwind,46.133,12,,,9,[CSC]Tommygaming,46.658,11,,,9,MALIYO,41.071,11
10,St Nicholas,DNF,10,,,10,Lexer,DNF,11,,,10,[CSC]Tommygaming,46.198,11,,,10,MALIYO,DNF,11,,,10,JobW,41.095,11
11,[TTR]MetalCJ,47.156,9,,,11,[CTR]Cbad Cruiser,47.551,10,,,11,[CTR]Cbad Cruiser,46.328,11,,,11,[CTR]Sandals,46.545,10,,,11,[CSC]Tommygaming,41.238,10
12,Nails,DNF,9,,,12,[CTR]Mμ,48.148,10,,,12,Hi Im Yolo,46.643,10,,,12,[BAP]Murrl,46.590,10,,,12,[CTR]GuAlexItar,41.545,10
13,[CTR]GuAlexItar,47.310,8,,,13,Orthros,48.777,9,,,13,[CTR]GuAlexItar,46.683,10,,,13,[CTR]Mortishade,46.603,9,,,13,Orthros,41.292,9
14,[CTR]Mμ,47.462,8,,,14,[CSC] redal,DNF,9,,,14,[bad] ping,46.613,9,,,14,JobW,46.615,9,,,14,[CTR]Mμ,41.465,9
15,Matic_D,47.640,8,,,15,[CSC] DeeDeeNaNaNa,47.138,8,,,15,[CSC] redal,46.701,9,,,15,[CSC] redal,46.732,9,,,15,[bad] ping,41.409,8
16,Lexer,DNF,8,,,16,[Burp]Weak_Knees,47.764,8,,,16,St Nicholas,46.747,9,,,16,MackCheesy,47.003,9,,,16,brrryy,41.419,8
17,[20x]K410K3N,47.446,7,,,17,[CTR]Mortishade,48.189,8,,,17,[CTR]Mortishade,46.769,9,,,17,[CTR]GuAlexItar,46.681,8,,,17,[Burp]Weak_Knees,41.626,8
18,[Quac] microways,DNF,7,,,18,[TOG]Lazy_Echidna,49.503,8,,,18,[SWMG]SadD0ge,47.023,8,,,18,[Quac] microways,46.692,8,,,18,[CSC]AndMe17,DNF,8
,[CSC] DeeDeeNaNaNa,DNF,7,,,19,graysonvitek88,48.485,7,,,19,[GECK]R0nanC,47.251,8,,,19,St Nicholas,46.700,8,,,19,[TILT]Redstony,41.535,7
,Joe-bgaming,DNF,7,,,20,[Burp]Murrl,48.534,7,,,20,brrryy,47.611,8,,,20,[bad] ping,46.835,8,,,20,[CSC] Shadynook,41.577,7
21,Noxitu,47.676,6,,,21,[fn]Form,48.664,7,,,21,[TTR]MetalCJ,DNF,8,,,21,[CTR]Mμ,47.018,7,,,21,Gimpel,41.691,7
22,[CSC] Shadynook,47.748,6,,,22,MMXD18,48.840,7,,,22,[CSC] DeeDeeNaNaNa,47.576,7,,,22,Hi Im Yolo,47.048,7,,,22,[GFHL]loganbradley714,41.784,7
23,graysonvitek88,47.833,6,,,23,Adam,49.630,6,,,23,Kiprosa,48.101,7,,,23,Matic_D,47.518,7,,,23,Hi Im Yolo,41.838,6
24,DeiRex,47.972,6,,,24,[Quac] An Actual g00se,49.796,6,,,24,gilgool,48.134,7,,,24,[CTR]Lamp,DNF,7,,,24,graysonvitek88,41.910,6
25,[BAP]SixSixSevenSeven,48.551,5,,,25,[GGG]Victor,50.807,6,,,25,agix,49.208,7,,,25,[CSC] Shadynook,47.634,6,,,25,MMXD18,42.072,6
26,[GECK]R0nanC,48.661,5,,,26,Minkus,DNF,6,,,26,[CTR]Mμ,48.169,6,,,26,[MMM]LKat,47.642,6,,,26,DeiRex,42.357,6
27,[ZET]Stick,DNF,5,,,27,[CTR]Lamp,49.503,5,,,27,graysonvitek88,48.308,6,,,27,elekvault,47.680,6,,,27,[CTR]Mortishade,42.177,5
28,[popo]void,DNF,5,,,28,brrryy,49.598,5,,,28,[CC] Quickracer10,DNF,6,,,28,DeiRex,DNF,6,,,28,Matic_D,42.203,5
29,Andy,48.961,4,,,29,St Nicholas,49.671,5,,,,[CSC] Shadynook,DNF,6,,,,[MMM]Victor,47.744,5,,,29,Reamerad,42.369,5
30,[ZET]LILWOOLEY,49.498,4,,,30,Noxitu,50.150,5,,,30,BB_Benji,48.210,5,,,30,[BAP]SixSixSevenSeven,47.772,5,,,30,IronDragon111000,42.511,5
31,[CTR] PoopSheriff,DNF,4,,,31,[BAP]SixSixSevenSeven,50.023,4,,,31,Reamerad,48.228,5,,,31,[Gwen]K410K3N,47.801,5,,,31,[FOOL] Ruckooe,44.362,4
32,agix,DNF,4,,,32,[TTR]MetalCJ,50.085,4,,,32,Noxitu,49.073,5,,,32,[ZET]LILWOOLEY,DNF,5,,,32,A2 Zecklord,DNF,4
33,cookie,49.167,3,,,33,Gimpel,50.220,4,,,33,Heart-TGV,49.283,5,,,33,Lexer,DNF,4,,,,gilgool,DNF,4
34,[RB]Chinpokomon,49.424,3,,,34,Matic_D,50.702,4,,,34,Zwerggo,48.570,4,,,,Orthros,DNF,4,,,,[ZET]LILWOOLEY,DNF,4
35,[CSC]OLR94,50.203,3,,,35,Vikjor,50.001,3,,,35,[ERR]ferinine,49.384,4,,,,[ZET] Wheelie,DNF,4,,,35,[ZET]maskeddog,43.572,3
36,[BOGO]BOB THE GAMER,DNF,3,,,36,Hi Im Yolo,50.147,3,,,36,Tudge Boat,50.783,4,,,,[GECK]R0nanC,DNF,4,,,36,DarthJohansen,43.952,3
37,B_ES,DNF,2,,,37,Northwind,DNF,3,,,37,Apokus,52.690,4,,,37,[ZET]Sword125,49.627,3,,,37,Dartho Mas,44.239,3
,brrryy,DNF,2,,,38,[20x]K410K3N,DNF,3,,,38,[ZET]Sword125,52.989,3,,,38,HighPing_Enjoyer,50.345,3,,,38,[BAP]SixSixSevenSeven,44.618,3
