,,,,,,,,,
COTD 136,,,,,,COTD 137,,,
Map: COTD - Volcanic by [TTR] Tigerplaysonpc,,,,,,Map: COTD - Out of Breath by Diabler,,,
,,Fastest Time: 40.036 by justMaki in Round 14,,,,,,Fastest Time: 40.295 by ZOMAN in Final,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,Hydro,40.396,,,,1,ZOMAN,40.295,
2,justMaki,DNF,15,,,2,Lexer,41.095,13
3,ZOMAN,45.129,14,,,3,[FPV]PandaMane,DNF,12
4,Lexer,45.241,13,,,,[SWMG]JakeAdjacent,DNF,12
5,MackCheesy,45.213,12,,,5,Kernkob,40.721,11
6,Mμ,DNF,11,,,6,[MMM]LKat,41.168,10
7,[KURK] Quickracer10,45.468,10,,,7,[ZET]Stick,41.306,10
8,[CSC]Tommygaming,45.492,10,,,8,[CTR] Sandals,41.506,9
9,[CTR]agix,45.505,9,,,9,Mμ,DNF,9
10,Pants,DNF,9,,,10,Hydro,71.724,8
11,[Quac] microways,45.883,8,,,11,B_ES,DNF,8
12,[SWMG]JakeAdjacent,45.916,8,,,12,Renergy,42.580,7
13,[Tame]stindt,46.232,7,,,13,[20x]K410K3N,DNF,7
14,Northwind,46.372,7,,,14,[Quac] microways,41.780,6
15,[CTR]GuAlexItar,46.496,7,,,15,[CSC]Tommygaming,41.829,6
16,Barsik,47.026,7,,,16,brrryy,41.932,6
17,alpa,46.782,6,,,17,[CTR]GuAlexItar,42.079,6
18,Noxitu,47.106,6,,,18,[CTR]agix,42.601,5
19,PlusMicron,47.130,6,,,19,MALIYO,42.897,5
20,ping,47.299,6,,,20,MackCheesy,43.962,5
21,[ZET]Stick,48.314,5,,,21,[fn]Form,DNF,5
22,Six,48.326,5,,,22,ping,43.128,4
23,Gimpel,48.368,5,,,23,St Nicholas,43.268,4
24,Matic_D,48.725,5,,,24,PlusMicron,43.620,4
25,[fn]Form,48.871,4,,,25,aizpun,DNF,4
26,Tudge Boat,49.436,4,,,26,[ZET] Wheelie,43.971,3
27,DeiRex,49.722,4,,,27,Noxitu,44.560,3
28,[GECK]R0nanC,DNF,4,,,28,[CTR]Rourie13,44.739,3
29,GuillaumePN,49.793,3,,,29,Matic_D,DNF,3
30,[ZET] Wheelie,50.032,3,,,30,Fly8oy,46.115,2
31,Reamerad,50.562,3,,,31,[RB]Chinpokomon,46.212,2
32,Dartho Mas,50.786,3,,,32,[Slow]frenchteost,46.236,2
33,aizpun,51.303,3,,,33,een,46.251,2
34,[ZET]LILWOOLEY,51.618,3,,,34,wokonbike,46.508,2
35,[RB]Chinpokomon,51.681,2,,,35,[FOOL] Ruckooe,47.946,2
36,Fly8oy,54.550,2,,,36,readfreak7,DNF,1
37,liz1rd,54.897,2,,,,Six,DNF,1
38,Vodiakism,DNF,2,,,,Kurtis,DNF,1
,wokonbike,DNF,2,,,,Waaksaam,DNF,1
,[ZET]vectortrajector,DNF,2,,,,Azrael,DNF,1
41,RoundNzt,DNF,1,,,,[NewB]Zeus,DNF,1
,[ZET]Sword125,DNF,1,,,,FedtStensDyr,DNF,1
,BrickEdwards,DNF,1,,,,Dartho Mas,DNF,1
,cookie,DNF,1,,,,BrickEdwards,DNF,1
,[NewB]Zeus,DNF,1,,,,[ZET]vectortrajector,DNF,1
,TamerSteak65167,DNF,1,,,,,,
