,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 141,,,,,,COTD 142,,,,,,COTD 143,,,,,,COTD 144,,,,,,COTD 145,,,
Map: COTD - Farewell by PlusMicron,,,,,,Map: COTD - Slowtown by [CSC] Shadynook,,,,,,Map: safe travels v4 by crips.fourie,,,,,,Map: COTD 144 - Chartreuse Valley by [CSC]Tommygaming,,,,,,Map: COTD - Resonance Ridge by Richhyyyy,,,
,,Fastest Time: 44.849 by RoundNzt in Round 4,,,,,,Fastest Time: 41.585 by [KURK] Quickracer10 in Round 7,,,,,,Fastest Time: 41.988 by Kernkob in Round 13,,,,,,Fastest Time: 43.318 by Kernkob in Round 3,,,,,,Fastest Time: 42.901 by Hydro in Round 9,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,[WASH] ZOMAN,44.901,,,,1,justMaki,41.864,,,,1,Kernkob,42.172,SWEEP,,,1,Kernkob,43.394,SWEEP,,,1,Sterben,42.934,
2,RoundNzt,45.207,17,,,2,[CTR] Sandals,42.138,14,,,2,Lexer,42.482,16,,,2,[Quac] microways,DNF,16,,,2,Hydro,42.992,17
3,Hydro,45.303,16,,,3,Lexer,42.153,13,,,3,brrryy,DNF,15,,,3,[ZET]Stick,DNF,15,,,3,Kernkob,43.038,16
4,[KURK] Quickracer10,45.228,15,,,4,[KURK] Quickracer10,DNF,12,,,4,RoundNzt,43.251,14,,,4,[FPV]PandaMane,DNF,14,,,4,Noweki,43.286,15
5,Lexer,45.312,14,,,5,Kernkob,41.954,11,,,5,Shattersmith,43.132,13,,,5,Pants,43.977,13,,,5,ZOMAN,DNF,14
6,icRS,45.310,13,,,6,Hydro,42.016,10,,,6,[CSC]Tommygaming,44.253,12,,,6,ping,DNF,12,,,6,[KURK] Quickracer10,43.456,13
7,ping,45.432,12,,,7,JakeAdjacent,42.174,10,,,7,[KURK] Quickracer10,45.503,11,,,7,[ERR]ferinine,44.300,11,,,7,JakeAdjacent,43.302,12
8,brrryy,47.202,12,,,8,Pants,42.240,9,,,8,Hydro,45.961,11,,,8,PlusMicron,44.595,11,,,8,[CTR]agix,43.304,12
9,[ZET]Stick,45.857,11,,,9,Mμ,42.370,9,,,9,Mμ,43.311,10,,,9,[CSC] Shadynook,44.632,10,,,9,Mμ,43.443,11
10,[SLOW] Renergy,47.161,11,,,10,RoundNzt,42.433,8,,,10,Minkus,43.493,10,,,10,Mμ,DNF,10,,,10,[FPV]PandaMane,DNF,11
11,rtube,45.755,10,,,11,Six,42.579,8,,,11,JakeAdjacent,43.643,9,,,11,RoundNzt,44.718,9,,,11,justMaki,43.452,10
12,St Nicholas,46.072,10,,,12,[CTR]agix,42.236,7,,,12,[CTR]GuAlexItar,DNF,9,,,12,MALIYO,DNF,9,,,12,Hi Im Yolo,44.189,10
13,Eclipse135,45.951,9,,,13,ping,42.727,7,,,13,[MMM]Victor,43.489,8,,,13,M4rv,44.867,8,,,13,brrryy,43.533,9
14,[MMM]Victor,45.973,9,,,14,Void,43.025,6,,,14,[CTR]agix,43.738,8,,,14,Eclipse135,45.027,8,,,14,MALIYO,43.652,9
15,Gimpel,46.676,9,,,15,Kiprosa,43.114,6,,,15,[FPV]PandaMane,43.893,8,,,15,Kiprosa,45.094,7,,,15,Minkus,43.732,9
16,Six,48.148,9,,,16,Noxitu,43.222,6,,,16,MackCheesy,43.691,7,,,16,Tudge Boat,45.215,7,,,16,[ZET]Stick,43.822,9
17,DeiRex,46.492,8,,,17,St Nicholas,43.234,6,,,17,Six,43.902,7,,,17,Lexer,DNF,7,,,17,Lexer,43.734,8
18,Den,46.549,8,,,18,brrryy,43.279,5,,,18,[Quac] microways,DNF,7,,,,[CTR]GuAlexItar,DNF,7,,,18,[Burp]Weak_Knees,43.755,8
19,Matic_D,46.646,8,,,19,alpa,43.345,5,,,,PlusMicron,DNF,7,,,19,Matic_D,45.198,6,,,19,icRS,43.828,8
