,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 146,,,,,,COTD 147,,,,,,COTD 148,,,,,,COTD 149,,,,,,COTD 150,,,
Map: Shambly COTD by [CRT]Codewalt,,,,,,Map: COTD - Ashlands Descent by [CSC]Mokster,,,,,,Map: Eleven Gallium by agix,,,,,,Map: -COTD- The Spice Rack by [CSC] OccasionallyAmazingGamer,,,,,,Map: COTD #150 - Sink into Madness by Form,,,
,,Fastest Time: 45.625 by justMaki in Round 13,,,,,,Fastest Time: 47.498 by Sterben in Round 10,,,,,,Fastest Time: 40.672 by justMaki in Round 12,,,,,,Fastest Time: 47.837 by Kernkob in Round 2,,,,,,Fastest Time: 40.402 by Kernkob in Final,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,Hydro,45.782,,,,1,Sterben,47.652,,,,1,justMaki,40.845,,,,1,Kernkob,48.214,,,,1,Kernkob,40.402,
2,justMaki,45.944,16,,,2,justMaki,47.870,16,,,2,[KURK] Quickracer10,40.979,17,,,2,Sterben,DNF,16,,,2,[DNF] JakeAdjacent,41.014,17
3,ZOMAN,46.061,15,,,3,Kernkob,47.675,15,,,3,Pants,40.980,16,,,3,justMaki,48.128,15,,,3,Hydro,41.513,16
4,MALIYO,DNF,14,,,4,Lexer,47.790,14,,,4,ZOMAN,40.962,15,,,4,RoundNzt,48.246,14,,,4,B_ES,DNF,15
5,Minkus,46.756,13,,,5,[eepy] ZOMAN,48.052,13,,,5,Kernkob,41.135,14,,,5,Hydro,DNF,13,,,5,ping,42.904,14
6,Lexer,DNF,12,,,6,B_ES,48.136,12,,,6,Lexer,41.056,13,,,6,Lexer,48.477,12,,,6,RoundNzt,42.498,13
7,RoundNzt,46.684,11,,,7,brrryy,48.504,12,,,7,MALIYO,41.311,12,,,7,Minkus,48.484,12,,,7,Lexer,41.723,12
8,[ZET]Stick,DNF,11,,,8,Gimpel,49.828,11,,,8,Sterben,41.611,12,,,8,[Quac] microways,48.691,11,,,8,Minkus,42.216,12
9,MackCheesy,DNF,10,,,9,Mμ,DNF,11,,,9,𝒱V𝑜o𝒾i𝒹d𝒱,41.304,11,,,9,Renergy,48.825,11,,,9,[ZET]Stick,42.632,11
,[FPV]PandaMane,DNF,10,,,10,RoundNzt,DNF,10,,,10,Shattersmith,DNF,11,,,10,[KURK] Quickracer10,DNF,10,,,10,[Quac] microways,42.917,11
11,[CSC]Tommygaming,46.825,9,,,,[CTR]GuAlexItar,DNF,10,,,11,[CTR]GuAlexItar,41.275,10,,,,[pink]rtube,DNF,10,,,11,[CTR]GuAlexItar,42.147,10
12,brrryy,47.004,9,,,12,MackCheesy,49.277,9,,,12,[CTR] Sandals,42.304,10,,,12,Mμ,48.749,9,,,12,[CTR]NathWalt,42.477,10
13,[CTR] Sandals,DNF,8,,,13,[CSC] Shadynook,DNF,9,,,13,Minkus,41.200,9,,,13,[CSC]Tommygaming,48.906,9,,,13,brrryy,DNF,9
,[ERR]ferinine,DNF,8,,,14,Nails,49.300,8,,,14,[ZET]Stick,41.261,9,,,14,[CTR] Sandals,48.864,8,,,,PlusMicron,DNF,9
