,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 41,,,,,,COTD 42,,,,,,COTD 43,,,,,,COTD 44,,,,,,COTD 45,,,
Map: Pyrophoric by [CTR]Kernkob,,,,,,Map: No Mind to Think by agix,,,,,,Map: COTD #43 - Back 'n' Forth by Renergy,,,,,,Map: COTD #44 - Fuddy-duddy by Shadynook,,,,,,Map: COTD - Odyssey by icRS,,,
,,Fastest Time: 42.152 by Mark in Final,,,,,,Fastest Time: 43.884 by ZOMAN in Round 5,,,,,,Fastest Time: 44.749 by [test] justMaki in Round 12,,,,,,Fastest Time: 42.925 by justMaki in Round 2,,,,,,Fastest Time: 45.842 by [CTR]Hydro in Round 13,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,Mark,42.152,,,,1,Butter,44.261,,,,1,[test] justMaki,44.846,,,,1,Lexer,43.169,,,,1,[CTR]Hydro,45.887,
2,[CTR]Hydro,42.494,14,,,2,ZOMAN,DNF,13,,,2,ZOMAN,45.280,14,,,2,justMaki,43.336,14,,,2,RoundNzt,46.003,14
3,[CTR]Cbad Cruiser,42.825,13,,,3,[just] Renergy,44.447,12,,,3,Linzi,46.146,13,,,3,[frog]Fwogiie,43.410,13,,,3,[CTR] Sandals,46.535,13
4,JobW,43.377,12,,,4,[CTR]Kernkob,44.416,11,,,4,RoundNzt,45.643,12,,,4,Linzi,43.623,12,,,4,Lexer,46.253,12
5,Istaysideway,43.318,11,,,5,[HRR] readfreak7,46.022,10,,,5,l3purple,46.171,11,,,5,[CTR] Sandals,DNF,11,,,5,St Nicholas,46.488,11
6,[WAM] zivecef,43.647,10,,,6,Lexer,44.881,9,,,6,[frog]Fwogiie,45.947,10,,,6,[dogg] schmxrg,43.774,10,,,6,[RTR]GuAlexItar,DNF,10
7,RoundNzt,43.337,9,,,7,Linzi,44.927,8,,,7,Butter,46.509,9,,,7,RoundNzt,43.981,9,,,7,[CTR] L3it3R,46.619,9
8,Linzi,43.342,9,,,8,[CTR] L3it3R,45.406,8,,,8,[KURK] Quickracer10,DNF,9,,,8,JobW,44.046,9,,,8,Butter,46.627,9
9,Kaiser64,43.728,8,,,9,St Nicholas,46.230,7,,,9,[RTR]GuAlexItar,46.329,8,,,9,[just] Renergy,43.764,8,,,9,JobW,46.600,8
10,Lexer,43.755,8,,,10,Lynhardt,46.313,7,,,10,[CTR]OwlPlague,46.948,8,,,10,[CTR]OwlPlague,43.849,8,,,10,BuddhaBladez,46.765,8
11,[RTR]Fwogiie,44.232,7,,,11,Hi Im Yolo,46.240,6,,,11,Lexer,47.222,7,,,11,[CTR] L3it3R,44.560,7,,,11,DeiRex,46.966,7
12,Nails,44.436,7,,,12,[ZMS] Metalted,46.448,6,,,12,St Nicholas,47.293,7,,,12,Tritonas1237,DNF,7,,,12,[CTR]Cbad Cruiser,DNF,7
13,[CTR]R0nanC,43.984,6,,,13,icRS,47.577,5,,,13,[XTR]Hawk,47.073,6,,,13,[ORIG]AndMe16,44.197,6,,,13,[CTR]OwlPlague,46.896,6
14,[KURK] Quickracer10,43.984,6,,,14,Shadynook,DNF,5,,,14,Hi Im Yolo,47.271,6,,,14,BuddhaBladez,DNF,6,,,14,Shadynook,46.991,6
15,[RTR]GuAlexItar,44.171,6,,,15,[ZET] rtyyyyb,48.191,4,,,15,Kaiser64,47.608,6,,,15,icRS,44.670,5,,,15,R0nanC,DNF,6
16,[CTR] jandje,DNF,6,,,16,koz,50.491,4,,,16,R0nanC,47.757,6,,,16,agix,44.746,5,,,16,Drunkshinobi,47.301,5
17,Shadynook,44.137,5,,,17,[XTR] NATHAN,51.137,4,,,17,DeiRex,47.847,5,,,17,FINSTER83,44.927,5,,,17,koz,48.127,5
18,[GANS] Not That Guy,44.140,5,,,18,[XTR]Hawk,DNF,4,,,18,[CTR] L3it3R,47.977,5,,,18,[CTR]Hydro,DNF,5,,,18,[KURK] Quickracer10,DNF,5
19,[TOOB] Renergy,44.319,5,,,19,imagineaclevernamehere,54.216,3,,,19,[ORIG]AndMe16,48.234,5,,,19,Codewalt,44.915,4,,,,Renergy,DNF,5
20,masterofpi11436,44.353,5,,,20,vortex,DNF,3,,,20,Diabler,48.450,5,,,20,DeeDeeNaNaNa,46.303,4,,,20,Matic_D,47.949,4
21,DeiRex,44.662,4,,,,ITz_WillleeMan,DNF,3,,,21,[WASD] Dentalon,48.354,4,,,21,Aether37,47.035,4,,,21,[ZMS] Metalted,48.033,4
22,agix,44.812,4,,,,ButItRuns,DNF,3,,,22,[ZMS] Metalted,48.929,4,,,22,R0nanC,DNF,4,,,22,DeeDeeNaNaNa,48.826,4
23,Wiwiknight,45.236,4,,,23,[CTR]OwlPlague,DNF,2,,,23,koz,49.111,4,,,23,[XTR]Hawk,46.370,3,,,23,Pants,DNF,4
24,Hi Im Yolo,DNF,4,,,,Sheriff,DNF,2,,,24,zaenith,DNF,4,,,24,Arepuz,48.097,3,,,24,MasterGamer64,48.845,3
25,icRS,46.313,3,,,,FINSTER83,DNF,2,,,25,[ZET] Wheelie,49.294,3,,,25,imagineaclevernamehere,53.849,3,,,25,Microknigh7,50.862,3
26,FINSTER83,47.176,3,,,,R0nanC,DNF,2,,,26,Pants,49.486,3,,,26,[CLWN]DocRee,55.174,3,,,26,[ZET]rtyyyyb,DNF,3
27,[CTR]L3it3R,DNF,3,,,,idk man,DNF,2,,,27,DeeDeeNaNaNa,DNF,3,,,27,alpa\,DNF,2,,,,Zodiak,DNF,3
,Orange Sheets,DNF,3,,,28,F1Y1NGDUTCHM8N,DNF,1,,,,Romans138,DNF,3,,,,Fatboy,DNF,2,,,28,imagineaclevernamehere,52.196,2
29,DeeDeeNaNaNa,46.872,2,,,,Matic_D,DNF,1,,,29,[XTR] NATHAN,51.09,2,,,,[XTR] NATHAN,DNF,2,,,29,gordeiegorov,52.57,2
30,Heart-TGV,49.567,2,,,,Termite,DNF,1,,,30,BuddhaBladez,DNF,2,,,,coppertop34,DNF,2,,,30,Moiso,DNF,2
31,imagineaclevernamehere,1:12.921,2,,,,,,,,,,robertrdemare,DNF,2,,,31,St Nicholas,DNF,1,,,,CasualReux,DNF,2
32,KeaVa,DNF,2,,,,,,,,,,icRS,DNF,2,,,,Zodiak,DNF,1,,,32,ArmchairPolymath,DNF,1
33,Tritonas1237,DNF,1,,,,,,,,,33,FINSTER83,DNF,1,,,,vortex,DNF,1,,,,[ZET]toast,DNF,1
,Diabler,DNF,1,,,,,,,,,,ScoobidyWoobidy,DNF,1,,,,Despacito,DNF,1,,,,[WHI] CopperFeather,DNF,1
,[ZET] Wheelie,DNF,1,,,,,,,,,,Shadynook,DNF,1,,,,vectortrajector,DNF,1,,,,vectortrajector,DNF,1
,vectortrajector,DNF,1,,,,,,,,,,laurin,DNF,1,,,,Agnostos,DNF,1,,,,Lou Lou,DNF,1
,,,,,,,,,,,,,vortex,DNF,1,,,,elsaendi,DNF,1,,,,,,
,,,,,,,,,,,,,ButItRuns,DNF,1,,,,jedidog121,DNF,1,,,,,,
,,,,,,,,,,,,,Bugslvt,DNF,1,,,,Cat_karma19,DNF,1,,,,,,
,,,,,,,,,,,,,Edhiluengo,DNF,1,,,,Alaskaman79,DNF,1,,,,,,
,,,,,,,,,,,,,daniel,DNF,1,,,,Mr. X,DNF,1,,,,,,
