,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 86,,,,,,COTD 87,,,,,,COTD 88,,,,,,COTD 89,,,,,,COTD 90,,,
Map: COTD - Wicked Winning by Lexer,,,,,,Map: COTD - Blockpit by redal,,,,,,Map: COTD - Solar Speed by [TBD] rtube,,,,,,Map: COTD - Feeling Blue by [CSC]Mokster,,,,,,Map: COTD - Golden Palms by OgelGames,,,
,,Fastest Time: 43.532 by Hydro in Round 10,,,,,,Fastest Time: 42.690 by justMaki in Round 12,,,,,,Fastest Time: 44.567 by [BLUE] ZOMAN in Final,,,,,,Fastest Time: 43.449 by justMaki in Round 15,,,,,,Fastest Time: 40.102 by justMaki in Round 13,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,[KURK] Quickracer10,43.845,,,,1,justMaki,42.917,,,,1,[BLUE] ZOMAN,44.567,,,,1,justMaki,43.525,,,,1,justMaki,40.117,
2,RoundNzt,43.857,15,,,2,Hydro,43.105,14,,,2,Hydro,44.877,15,,,2,[CTR] Sandals,DNF,17,,,2,[KURK] Quickracer10,40.229,17
3,[ZET] Jakie,43.879,14,,,3,Pants,43.535,13,,,3,Kernkob,44.851,14,,,3,Kernkob,43.978,16,,,3,Pants,40.497,16
4,[FPV]PandaMane,DNF,13,,,4,jandje,43.350,12,,,4,Lexer,44.961,13,,,4,[TILT]Redstony,44.044,15,,,4,Linzi,40.475,15
5,[CTR] Sandals,44.227,12,,,5,A2 Zecklord,43.510,11,,,5,RoundNzt,45.714,12,,,5,[CTR]Mμ,44.577,14,,,5,[FPV]PandaMane,40.507,14
6,Hydro,DNF,11,,,6,[TBD] Renergy,43.685,10,,,6,[KURK] Quickracer10,45.215,11,,,6,[KURK] Quickracer10,44.567,13,,,6,agix,40.573,13
7,An Actual g00se,44.070,10,,,7,AndMe17,43.971,10,,,7,Northwind,DNF,10,,,7,Lexer,44.516,12,,,7,Lexer,40.666,12
8,A2 Zecklord,44.155,10,,,8,[TBD] rtube,43.952,9,,,,[CTR] Sandals,DNF,10,,,8,MeOne2Three4,44.875,12,,,8,[CTR]Mμ,40.896,12
9,[CTR]Mμ,44.352,9,,,9,[CTR] Sandals,DNF,9,,,9,MeOne2Three4,46.089,9,,,9,Hi Im Yolo,45.170,11,,,9,RoundNzt,40.645,11
