,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 91,,,,,,COTD 92,,,,,,COTD 93,,,,,,COTD 94,,,,,,COTD 95,,,
Map: COTD - Snowy Apocalypse Trein by GoBigGoHotWheels,,,,,,Map: COTD - Red Velvet by Pants + [CRT]Codewalt,,,,,,Map: CotD - Skylands (Happy Mother's Day!) by [GFHL]loganbradley714,,,,,,Map: The Grind by palfly,,,,,,Map: COTD - Floating Fernway by Butter,,,
,,Fastest Time: 41.809 by [kob] ZOMAN in Final,,,,,,Fastest Time: 40.000 by Kernkob in Round 15,,,,,,Fastest Time: 43.968 by clycl in Round 13,,,,,,Fastest Time: 42.196 by justMaki in Final,,,,,,Fastest Time: 44.011 by Kernkob in Round 15,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,[kob] ZOMAN,41.809,,,,1,Kernkob,40.158,,,,1,clycl,44.497,,,,1,justMaki,42.196,,,,1,Kernkob,44.143,
2,RoundNzt,43.295,15,,,2,ZOMAN,40.423,16,,,2,[CTR] Sandals,DNF,15,,,2,[FPV]PandaMane,42.900,15,,,2,clycl,44.229,17
3,JobW,42.897,14,,,3,RoundNzt,40.702,15,,,3,Lexer,45.041,14,,,3,Pants,42.821,14,,,3,[KURK] Quickracer10,44.327,16
4,[CTR]Cbad Cruiser,43.148,13,,,4,[CHEZ]PandaMane,40.677,14,,,4,[CHEZ]MackCheesy,45.489,13,,,4,[KURK] Quickracer10,43.097,13,,,4,RoundNzt,44.414,15
5,[TILT]Redstony,42.861,12,,,5,[CTR]Cbad Cruiser,40.839,13,,,5,Murrl,45.577,12,,,5,Lexer,43.180,12,,,5,[CSC] An Actual g00se,44.879,14
6,[SUCK] rtube,43.535,11,,,6,Hydro,40.673,12,,,6,Pants,45.469,11,,,6,[Heyo]Mr. Hubub,43.029,11,,,6,[CTR] Sandals,44.554,13
7,Beans,43.593,11,,,7,Lexer,40.805,11,,,7,Hi Im Yolo,46.839,11,,,7,A2 Zecklord,42.884,10,,,7,Lexer,44.590,12
8,[CTR] Sandals,43.612,10,,,8,A2 Zecklord,41.137,11,,,8,FORT OFF,45.503,10,,,8,[CTR]Mμ,DNF,10,,,8,Murrl,44.710,12
9,[CHEZ]MackCheesy,44.050,10,,,9,[CSC] An Actual g00se,41.138,10,,,9,[CHL] Doisoi,45.995,10,,,9,Madam Prism,43.297,9,,,9,376,44.849,11
10,magical,44.081,9,,,10,[CTR]OwlPlague,41.525,10,,,10,[CHEZ]PandaMane,46.966,9,,,10,376,43.555,9,,,10,[CTR]GuAlexItar,44.931,11
11,[ZET] Wheelie,DNF,9,,,11,[CTR] Sandals,41.438,9,,,11,[COMY]AndMe17,DNF,9,,,11,[COMY]AndMe17,44.106,8,,,11,[CHL] Doisoi,45.084,10
12,palfly,DNF,8,,,12,[CTR]Mμ,41.952,9,,,12,agix,47.162,8,,,12,[ZET]Stick,DNF,8,,,12,St Nicholas,45.436,10
