,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 96,,,,,,COTD 97,,,,,,COTD 98,,,,,,COTD 99,,,,,,COTD 100,,,
Map: COTW - Magrass by [CSC]Tommygaming,,,,,,Map: Painters Flow (Fun For Everyone!) by [Err]ferinine,,,,,,Map: Cotd - The Dark Knight by Diabler,,,,,,Map: COTD #99 - Bee Happy by DeeDeeNaNaNa,,,,,,Map: COTD 100 - Pretzel Quarry by cyberpunkninja,,,
,,Fastest Time: 40.408 by Hydro in Round 10,,,,,,Fastest Time: 40.082 by justMaki in Round 14,,,,,,Fastest Time: 43.867 by Hydro in Round 10,,,,,,Fastest Time: 45.622 by Kernkob in Final,,,,,,Fastest Time: 45.354 by [KURK] Quickracer10 in Final,
Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round,,,Position,Name,Elim Time,Elim Round
1,Kernkob,40.466,,,,1,justMaki,43.109,,,,1,Hydro,44.444,,,,1,Kernkob,45.622,,,,1,[KURK] Quickracer10,45.354,
2,[DNF] Did Not DNF ZOMAN,40.484,17,,,2,[CTR] Sandals,43.621,16,,,2,rtube,DNF,15,,,2,[KURK] Quickracer10,45.826,17,,,2,justMaki,45.491,12
3,Lexer,40.886,16,,,3,[FPV]PandaMane,43.687,15,,,3,Lexer,44.898,14,,,3,Pants,46.360,16,,,2*,Kernkob,45.500,11
4,Hydro,41.006,15,,,4,Northwind,43.652,14,,,4,SadD0ge,46.389,13,,,4,[CSC] An Actual g00se,46.397,15,,,4,ZOMAN,DNF,10
5,[KURK] Quickracer10,DNF,14,,,5,MackCheesy,43.764,13,,,5,MackCheesy,45.897,12,,,5,RoundNzt,46.532,14,,,5,Lexer,46.710,9
,RoundNzt,DNF,14,,,6,[KURK] Quickracer10,43.579,12,,,6,[CTR]GuAlexItar,45.166,11,,,6,St Nicholas,46.646,13,,,6,[CTR]GuAlexItar,46.331,8
7,[FPV]PandaMane,41.174,13,,,7,Butter,43.926,12,,,7,St Nicholas,46.170,11,,,7,[CTR] Sandals,46.828,12,,,7,rtube,46.027,7
8,Murrl,41.212,13,,,8,RoundNzt,43.774,11,,,8,Noxitu,45.759,10,,,8,Lexer,46.871,12,,,8,RoundNzt,46.907,7
9,jandje,41.233,12,,,9,[ZET]Stick,44.138,11,,,9,[CTR]Mortishade,46.156,10,,,9,Butter,46.935,11,,,9,[TILT]Redstony,46.277,6
10,[CTR]Cbad Cruiser,41.297,12,,,10,[COMY]AndMe17,43.755,10,,,10,DeeDeeNaNaNa,46.537,9,,,10,rtube,47.078,11,,,10,agix,47.314,6
11,agix,41.458,11,,,11,[vibe]3rdseyeview,44.342,10,,,11,Hi Im Yolo,46.603,9,,,11,[CSC]Tommygaming,47.465,10,,,11,Yoshi,46.955,5
12,[CTR]GuAlexItar,DNF,11,,,12,Lexer,43.988,9,,,12,MMXD18,47.250,8,,,12,[CSC] Shadynook,DNF,10,,,12,[FPV]PandaMane,DNF,5
13,MackCheesy,42.104,10,,,13,[CTR] PoopSheriff,44.307,9,,,13,gilgool,47.443,8,,,13,MackCheesy,47.030,9,,,13,[CSC] Shadynook,47.039,4
14,[CSC] Shadynook,42.525,10,,,14,Pants,43.898,8,,,14,Form,48.035,7,,,14,[CTR]Mμ,47.357,9,,,14,DeeDeeNaNaNa,47.185,4
15,[ZET]Stick,41.744,9,,,15,[CSC]Tommygaming,44.129,8,,,15,[TOG]Lazy_Echidna,48.083,7,,,15,FORT OFF,47.275,8,,,15,[CTR]Lamp,47.341,4
16,zivecef,41.891,9,,,16,Hi Im Yolo,44.299,8,,,16,RoundNzt,DNF,7,,,16,[ZET] Wheelie,47.306,8,,,16,Pants,DNF,4
17,[TILT]Redstony,41.954,9,,,17,Diabler,45.056,8,,,,[CTR]Mμ,DNF,7,,,17,[ZET]Ploddip,47.458,8,,,17,St Nicholas,DNF,3
18,Hi Im Yolo,DNF,9,,,18,ping,44.382,7,,,18,ping,47.954,6,,,18,alpa,48.429,8,,,,TrubP02,DNF,3
